Angle (°);Time (ms);PositionX (°);PositionY (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;740;59,05;-157,47;3916;-9548;-14020;-514;13;92;0,92;-1279,63;0,05
60;760;59,02;-157,7;3992;-9512;-14244;-466;-20;118;0,98;-1278,65;0,06
60;780;59,62;-157,19;18555;288;-7767;3992;-9512;21509;1,02;-1277,64;0,04
60;800;59,47;-157,61;3884;-9664;-13988;-481;38;103;0,45;-1276,73;-0,0
60;820;59,43;-157,83;3820;-9584;-14124;-480;-3;96;0,53;-1276,2;0,08
60;840;59,39;-158,04;3880;-9480;-14116;-466;40;77;0,6;-1275,59;0,07
60;860;59,96;-157,54;18555;288;-7767;3880;-9480;21509;0,66;-1274,93;0,06
60;880;59,81;-157,95;3824;-9504;-14080;-476;2;83;0,12;-1274,68;-0,01
60;900;59,76;-158,15;3740;-9608;-13984;-513;6;90;0,19;-1274,49;0,06
60;920;59,72;-158,33;3840;-9512;-14188;-476;-7;118;0,27;-1274,22;0,08
60;940;60,26;-157,84;18555;288;-7767;3840;-9512;21509;0,34;-1273,88;0,06
60;960;60,1;-158,21;3884;-9596;-14152;-478;-9;127;-0,18;-1274,24;-0,0
60;980;60,03;-158,39;3820;-9572;-14000;-477;10;99;-0,09;-1274,33;0,09
60;1000;59,96;-158,55;3912;-9636;-14036;-496;25;89;0,01;-1274,32;0,1
60;1020;59,25;-155,42;3328;0;3328;18555;288;-7767;0,1;-1274,22;0,1
60;1040;59,19;-155,91;3876;-9640;-14060;-479;2;95;0,76;-1272,66;-0,05
60;1060;59,17;-156,18;3804;-9508;-14080;-469;11;110;0,81;-1271,84;0,05
60;1080;59,15;-156,44;3924;-9588;-14032;-487;35;85;0,85;-1271,0;0,03
60;1100;59,71;-156,07;18555;288;-7767;3924;-9588;21509;0,87;-1270,12;0,03
60;1120;59,61;-156,53;3932;-9532;-14028;-491;13;115;0,33;-1269,44;-0,03
60;1140;59,6;-156,76;3876;-9560;-14224;-484;-4;101;0,37;-1269,07;0,04
60;1160;59,58;-156,99;3972;-9584;-14144;-507;-15;88;0,42;-1268,65;0,05
60;1180;60,1;-156,63;18555;288;-7767;3972;-9584;21509;0,46;-1268,19;0,04
60;1200;59,99;-157,07;3832;-9632;-14092;-456;0;80;-0,06;-1268,28;-0,02
60;1220;59,94;-157,28;3812;-9584;-14200;-491;-1;61;0,02;-1268,26;0,08
60;1240;59,91;-157,48;3940;-9556;-14128;-493;32;98;0,09;-1268,17;0,06
60;1260;60,39;-157,11;18555;288;-7767;3940;-9556;21509;0,15;-1268,02;0,07
60;1280;60,25;-157,5;3880;-9636;-14060;-505;4;81;-0,33;-1268,66;-0,02
60;1300;60,21;-157,69;3924;-9488;-13988;-495;10;100;-0,25;-1268,9;0,08
60;1320;60,17;-157,85;3976;-9556;-14184;-470;15;81;-0,17;-1269,08;0,07
60;1340;60,63;-157,48;18555;288;-7767;3976;-9556;21509;-0,11;-1269,19;0,07
60;1360;60,48;-157,85;3904;-9528;-14220;-458;3;80;-0,55;-1270,27;-0,01
60;1380;60,44;-158,03;3864;-9588;-14176;-503;-3;112;-0,48;-1270,75;0,07
60;1400;60,38;-158,21;3812;-9608;-14032;-500;-4;81;-0,4;-1271,15;0,08
60;1420;60,84;-157,85;18555;288;-7767;3812;-9608;21509;-0,32;-1271,47;0,08
60;1440;60,69;-158,19;3796;-9504;-14068;-481;-7;99;-0,77;-1272,99;-0,02
60;1460;60,63;-158,35;3852;-9552;-14032;-491;7;73;-0,68;-1273,66;0,09
60;1480;60,56;-158,5;3936;-9604;-14148;-492;21;85;-0,58;-1274,24;0,1
60;1500;60,99;-158,14;18555;288;-7767;3936;-9604;21509;-0,49;-1274,74;0,09
60;1520;60,83;-158,47;3732;-9620;-14072;-464;-8;106;-0,92;-1276,56;-0,01
60;1540;60,77;-158,62;3848;-9568;-14088;-483;11;115;-0,82;-1277,38;0,09
60;1560;60,71;-158,76;3928;-9652;-14160;-474;-51;65;-0,74;-1278,12;0,09
60;1580;60,84;-155,09;3928;-9652;21509;-1;-1;65;-0,64;-1278,76;0,09
60;1600;60,69;-155,57;3772;-9512;-14168;-469;-4;98;-0,77;-1280,29;-0,01
60;1620;60,63;-155,8;3932;-9484;-14204;-488;-4;111;-0,67;-1280,95;0,1
60;1640;60,56;-156,02;4004;-9608;-14124;-486;25;110;-0,58;-1281,54;0,08
60;1660;60,96;-155,76;18555;288;-7767;4004;-9608;21509;-0,49;-1282,03;0,09
60;1680;60,8;-156,19;3856;-9468;-14228;-491;14;143;-0,87;-1283,77;0,01
60;1700;60,73;-156,41;3868;-9492;-14060;-479;5;76;-0,78;-1284,55;0,08
60;1720;60,68;-156,63;3800;-9572;-14128;-502;-14;52;-0,7;-1285,25;0,08
60;1740;61,06;-153,64;112;-28;21509;3800;-9572;21509;-0,6;-1285,85;0,1
60;1760;60,89;-154,2;3804;-9584;-14264;-500;-1;41;-0,97;-1287,79;0,0
60;1780;60,83;-154,47;3904;-9564;-14068;-478;26;152;-0,88;-1288,68;0,09
60;1800;60,76;-154,74;3828;-9508;-14144;-470;5;72;-0,78;-1289,46;0,1
60;1820;61,15;-154,54;18555;288;-7767;3828;-9508;21509;-0,69;-1290,15;0,09
60;1840;60,98;-155,03;3844;-9556;-14316;-492;10;138;-1,05;-1292,26;0,01
60;1860;60,91;-155,27;3940;-9484;-14120;-488;3;56;-0,96;-1293,22;0,1
60;1880;60,83;-155,51;3860;-9640;-14092;-488;14;103;-0,87;-1294,08;0,09
60;1900;60,94;-152,07;3860;-9640;21509;-1;-1;103;-0,76;-1294,85;0,1
60;1920;60,78;-152,69;3900;-9488;-14040;-459;-14;57;-0,86;-1296,56;-0,0
60;1940;60,7;-153,02;3904;-9620;-14140;-487;-19;146;-0,76;-1297,32;0,1
60;1960;60,63;-153,35;3816;-9564;-14060;-496;-14;57;-0,66;-1297,97;0,1
60;1980;60,74;-150,0;3816;-9564;21509;0;0;57;-0,56;-1298,54;0,09
60;2000;60,59;-150,72;3952;-9552;-14088;-445;-16;104;-0,66;-1299,86;0,01
60;2020;60,52;-151,13;3816;-9576;-14068;-519;16;47;-0,56;-1300,43;0,1
60;2040;60,44;-151,53;3828;-9560;-14004;-455;-7;122;-0,47;-1300,9;0,09
60;2060;60,29;-152,23;3784;-9632;-14212;-448;10;81;-0,36;-1301,63;0,01
60;2080;60,22;-152,58;3868;-9528;-14072;-499;28;67;-0,27;-1301,9;0,09
60;2100;60,16;-152,94;3868;-9580;-14128;-486;-2;118;-0,19;-1302,09;0,08
60;2120;60,1;-153,29;3760;-9556;-14196;-477;11;94;-0,11;-1302,2;0,08
60;2140;59,96;-153,89;3800;-9568;-14144;-477;29;106;-0,03;-1302,26;-0,0
60;2160;59,9;-154,22;3816;-9548;-14044;-465;3;95;0,05;-1302,21;0,08
60;2180;59,84;-154,53;3872;-9584;-14104;-530;12;77;0,13;-1302,08;0,08
60;2200;59,78;-154,85;3836;-9532;-14164;-453;-42;104;0,21;-1301,88;0,07
60;2220;59,66;-155,39;3784;-9516;-14016;-484;32;87;0,28;-1301,32;-0,0
60;2240;59,6;-155,67;3836;-9528;-14060;-491;19;99;0,36;-1300,96;0,08
60;2260;59,53;-155,94;3900;-9588;-14080;-451;14;133;0,43;-1300,53;0,08
60;2280;59,48;-156,21;3896;-9564;-14056;-500;57;22;0,51;-1300,02;0,08
60;2300;59,36;-156,66;3912;-9612;-14132;-458;-43;122;0,59;-1298,85;0,01
60;2320;59,31;-156,92;3744;-9576;-14200;-473;12;124;0,65;-1298,2;0,07
60;2340;59,26;-157,18;3768;-9632;-14124;-467;46;74;0,71;-1297,49;0,06
60;2360;59,65;-157,01;18555;288;-7767;3768;-9632;21509;0,78;-1296,71;0,07
60;2380;59,51;-157,42;3764;-9596;-14120;-500;15;60;0,43;-1295,86;0,02
60;2400;59,46;-157,65;3824;-9460;-14096;-473;13;72;0,5;-1295,36;0,07
60;2420;59,41;-157,86;3788;-9524;-14016;-515;5;120;0,57;-1294,79;0,06
60;2440;59,79;-157,66;18555;288;-7767;3788;-9524;21509;0,64;-1294,16;0,07
60;2460;59,67;-158,01;3964;-9556;-14208;-482;-13;15;0,28;-1293,61;0,01
60;2480;59,62;-158,2;4004;-9624;-14160;-468;40;197;0,34;-1293,26;0,07
60;2500;59,55;-158,4;3816;-9596;-14072;-481;-8;69;0,42;-1292,84;0,08
60;2520;59,92;-158,18;18555;288;-7767;3816;-9596;21509;0,5;-1292,35;0,08
60;2540;59,78;-158,53;3840;-9672;-14108;-439;-4;173;0,15;-1292,05;0,01
60;2560;59,72;-158,71;3824;-9588;-14112;-507;28;13;0,23;-1291,82;0,08
60;2580;59,66;-158,88;3796;-9508;-14044;-469;28;162;0,31;-1291,51;0,08
60;2600;60,04;-158,64;18555;288;-7767;3796;-9508;21509;0,38;-1291,13;0,07
60;2620;59,9;-158,93;3836;-9600;-14204;-491;5;19;0,04;-1291,05;0,01
60;2640;59,83;-159,09;3856;-9648;-14056;-445;-19;130;0,12;-1290,93;0,08
60;2660;59,75;-159,25;3816;-9664;-14104;-499;16;44;0,22;-1290,71;0,09
60;2680;60,12;-159,0;18555;288;-7767;3816;-9664;21509;0,29;-1290,42;0,07
60;2700;59,97;-159,28;3816;-9624;-13996;-491;-5;119;-0,04;-1290,51;0,01
60;2720;59,91;-159,42;3824;-9620;-14208;-503;5;33;0,05;-1290,46;0,09
60;2740;59,85;-159,57;3780;-9484;-14164;-501;16;119;0,13;-1290,33;0,09
60;2760;60,21;-159,3;18555;288;-7767;3780;-9484;21509;0,21;-1290,12;0,08
60;2780;60,07;-159,54;3888;-9552;-14128;-475;7;62;-0,13;-1290,39;0,01
60;2800;60,01;-159,67;3928;-9616;-14240;-468;0;118;-0,05;-1290,44;0,08
60;2820;59,94;-159,8;3840;-9564;-14108;-495;43;73;0,03;-1290,4;0,08
60;2840;60,3;-159,51;18555;288;-7767;3840;-9564;21509;0,11;-1290,3;0,08
60;2860;60,15;-159,78;3756;-9720;-14144;-476;21;100;-0,23;-1290,76;0,01
60;2880;60,08;-159,91;3756;-9596;-14144;-469;-4;39;-0,13;-1290,89;0,1
60;2900;60,02;-160,01;3920;-9512;-13972;-494;3;113;-0,05;-1290,93;0,08
60;2920;60,37;-159,71;18555;288;-7767;3920;-9512;21509;0,04;-1290,9;0,09
60;2940;60,22;-159,92;3948;-9632;-14160;-507;18;60;-0,28;-1291,48;0,01
60;2960;60,15;-160,02;3940;-9588;-14104;-463;-9;60;-0,2;-1291,68;0,09
60;2980;60,08;-160,12;3924;-9712;-14096;-510;-21;112;-0,11;-1291,79;0,08
60;3000;60,43;-159,83;18555;288;-7767;3924;-9712;21509;-0,03;-1291,81;0,09
60;3020;60,26;-160,03;3904;-9596;-14004;-508;31;50;-0,33;-1292,5;0,02
60;3040;60,21;-160,14;3728;-9464;-14204;-514;11;141;-0,24;-1292,74;0,09
60;3060;60,13;-160,23;3816;-9632;-14156;-505;-12;70;-0,16;-1292,9;0,08
60;3080;60,49;-159,94;18555;288;-7767;3816;-9632;21509;-0,08;-1292,98;0,08
60;3100;60,34;-160,13;3828;-9616;-14084;-486;26;112;-0,41;-1293,8;0,0
60;3120;60,27;-160,23;3804;-9584;-14232;-469;-20;63;-0,31;-1294,12;0,1
60;3140;60,2;-160,33;3840;-9556;-14140;-499;18;100;-0,23;-1294,35;0,08
60;3160;60,55;-160,01;18555;288;-7767;3840;-9556;21509;-0,14;-1294,48;0,09
60;3180;60,39;-160,2;3736;-9284;-13644;-491;5;139;-0,46;-1295,42;0,01
60;3200;60,35;-160,28;4032;-10132;-14968;-760;88;127;-0,38;-1295,81;0,08
60;3220;60,21;-160,39;3736;-9512;-13668;95;-357;-291;-0,29;-1296,1;0,09
60;3240;61,42;-157,51;204;17090;21509;3736;-9512;21509;-0,15;-1296,25;0,14
60;3260;61,2;-157,86;3668;-9740;-14268;-373;-204;479;-1,29;-1298,87;0,04
60;3280;61,09;-157,99;3804;-9612;-13984;-492;0;-371;-1,16;-1300,03;0,13
60;3300;60,99;-158,12;3944;-9588;-14076;-439;126;32;-1,03;-1301,07;0,13
60;3320;61,31;-157,87;18555;288;-7767;3944;-9588;21509;-0,92;-1301,99;0,11
60;3340;61,13;-158,16;3776;-9456;-13988;-689;59;-63;-1,21;-1304,41;-0,0
60;3360;61,04;-158,3;3928;-9636;-14144;-451;-12;474;-1,1;-1305,51;0,11
60;3380;60,93;-158,45;3792;-9576;-14084;-400;-71;-256;-0,98;-1306,49;0,13
60;3400;60,03;-155,84;3328;0;3328;18555;288;-7767;-0,86;-1307,35;0,11
60;3420;59,91;-156,25;3700;-9644;-14140;-440;-63;231;0,02;-1307,3;-0,0
60;3440;59,89;-156,45;3884;-9544;-14100;-594;66;-57;0,08;-1307,22;0,06
60;3460;59,84;-156,64;3888;-9656;-14084;-436;6;224;0,14;-1307,09;0,06
60;3480;60,21;-156,45;18555;288;-7767;3888;-9656;21509;0,22;-1306,87;0,08
60;3500;60,09;-156,8;4064;-9548;-14128;-497;67;64;-0,15;-1307,15;-0,01
60;3520;60,05;-157,0;3812;-9604;-14292;-428;-32;201;-0,09;-1307,24;0,06
60;3540;60,01;-157,19;3828;-9576;-14236;-505;48;61;-0,02;-1307,27;0,06
60;3560;60,38;-156,96;18555;288;-7767;3828;-9576;21509;0,04;-1307,23;0,06
60;3580;60,23;-157,3;3924;-9644;-14096;-444;-12;113;-0,3;-1307,84;0,02
60;3600;60,17;-157,46;3836;-9644;-14032;-471;45;13;-0,21;-1308,05;0,08
60;3620;60,12;-157,62;3944;-9608;-14276;-434;-40;104;-0,13;-1308,18;0,08
60;3640;60,48;-157,39;18555;288;-7767;3944;-9608;21509;-0,06;-1308,25;0,07
60;3660;60,33;-157,71;3844;-9572;-14088;-470;-10;61;-0,39;-1309,04;0,0
60;3680;60,28;-157,87;3900;-9592;-14200;-528;18;205;-0,32;-1309,36;0,07
60;3700;60,22;-158,03;3776;-9512;-14156;-490;10;33;-0,24;-1309,6;0,08
60;3720;60,59;-157,77;18555;288;-7767;3776;-9512;21509;-0,17;-1309,77;0,07
60;3740;60,43;-158,07;3840;-9664;-14048;-451;3;56;-0,51;-1310,78;0,0
60;3760;60,37;-158,21;3920;-9576;-13936;-466;3;61;-0,42;-1311,2;0,09
60;3780;60,3;-158,34;3884;-9512;-14060;-450;11;109;-0,33;-1311,53;0,09
60;3800;60,66;-158,07;18555;288;-7767;3884;-9512;21509;-0,25;-1311,78;0,08
60;3820;60,51;-158,35;3840;-9616;-14068;-442;2;81;-0,58;-1312,95;0,01
60;3840;60,45;-158,49;3772;-9516;-14084;-503;57;131;-0,49;-1313,44;0,09
60;3860;60,39;-158,61;3920;-9552;-14108;-484;-40;109;-0,41;-1313,85;0,08
60;3880;60,74;-158,34;18555;288;-7767;3920;-9552;21509;-0,34;-1314,19;0,08
60;3900;60,59;-158,61;3864;-9632;-14104;-502;3;63;-0,66;-1315,51;0,0
60;3920;60,52;-158,74;3708;-9544;-14136;-481;15;79;-0,57;-1316,08;0,09
60;3940;60,45;-158,86;3788;-9604;-14000;-474;9;84;-0,48;-1316,56;0,09
60;3960;60,81;-158,58;18555;288;-7767;3788;-9604;21509;-0,39;-1316,95;0,09
60;3980;60,65;-158,84;3836;-9564;-14080;-501;30;140;-0,72;-1318,4;0,01
60;4000;60,57;-158,95;3860;-9584;-14092;-467;-12;104;-0,62;-1319,02;0,1
60;4020;60,51;-159,06;3800;-9576;-14096;-491;-1;89;-0,53;-1319,56;0,09
60;4040;60,86;-158,78;18555;288;-7767;3800;-9576;21509;-0,45;-1320,01;0,09
60;4060;60,7;-159,03;3760;-9516;-14232;-485;1;39;-0,77;-1321,55;0,01
60;4080;60,63;-159,13;3820;-9524;-14164;-466;-3;67;-0,68;-1322,23;0,09
60;4100;60,57;-159,23;3920;-9568;-14200;-452;21;103;-0,59;-1322,82;0,08
60;4120;60,9;-158,94;18555;288;-7767;3920;-9568;21509;-0,5;-1323,32;0,1
60;4140;60,73;-159,16;3816;-9540;-14016;-473;-16;128;-0,8;-1324,94;0,01
60;4160;60,65;-159,24;3904;-9584;-13948;-510;19;102;-0,71;-1325,65;0,1
60;4180;60,58;-159,32;3916;-9644;-14088;-514;-3;72;-0,61;-1326,26;0,1
60;4200;60,92;-159,02;18555;288;-7767;3916;-9644;21509;-0,51;-1326,77;0,1
60;4220;60,76;-159,24;3944;-9672;-14312;-569;-22;60;-0,83;-1328,43;-0,0
60;4240;60,68;-159,33;3884;-9524;-14028;-388;-93;96;-0,73;-1329,16;0,1
60;4260;60,61;-159,41;3864;-9632;-14040;-563;160;73;-0,64;-1329,8;0,1
60;4280;60,95;-159,12;18555;288;-7767;3864;-9632;21509;-0,54;-1330,34;0,09
60;4300;60,8;-159,32;3900;-9600;-14252;-493;-5;126;-0,87;-1332,09;0,0
60;4320;60,72;-159,42;3744;-9464;-14056;-507;13;48;-0,77;-1332,85;0,1
60;4340;60,65;-159,5;3912;-9720;-14248;-465;7;192;-0,68;-1333,54;0,09
60;4360;60,98;-159,21;18555;288;-7767;3912;-9720;21509;-0,58;-1334,11;0,1
60;4380;60,81;-159,41;3896;-9600;-14088;-481;-17;107;-0,89;-1335,9;0,01
60;4400;60,73;-159,49;3864;-9496;-14152;-492;25;171;-0,78;-1336,68;0,11
60;4420;60,65;-159,56;3800;-9528;-14040;-480;10;24;-0,68;-1337,36;0,09
60;4440;61,0;-159,24;18555;288;-7767;3800;-9528;21509;-0,59;-1337,95;0,1
60;4460;60,82;-159,43;3772;-9640;-14020;-417;-18;187;-0,91;-1339,78;0,01
60;4480;60,77;-159,52;3808;-9464;-14080;-597;-6;23;-0,81;-1340,6;0,1
60;4500;60,7;-159,58;3964;-9580;-14104;-479;-4;229;-0,73;-1341,33;0,08
60;4520;61,03;-159,27;18555;288;-7767;3964;-9580;21509;-0,63;-1341,96;0,1
60;4540;60,85;-159,46;3752;-9552;-14172;-494;37;24;-0,93;-1343,82;0,01
60;4560;60,77;-159,54;3784;-9568;-14152;-412;-49;290;-0,82;-1344,65;0,1
60;4580;60,69;-159,61;3888;-9504;-14096;-557;37;25;-0,71;-1345,36;0,11
60;4600;61,03;-159,29;18555;288;-7767;3888;-9504;21509;-0,62;-1345,98;0,09
60;4620;60,86;-159,48;3776;-9484;-14128;-458;27;31;-0,93;-1347,86;0,02
60;4640;60,78;-159,54;3936;-9564;-14060;-486;64;47;-0,83;-1348,69;0,1
60;4660;60,7;-159,6;3976;-9436;-14012;-467;-64;196;-0,73;-1349,42;0,1
60;4680;61,03;-159,25;18555;288;-7767;3976;-9436;21509;-0,63;-1350,05;0,1
60;4700;60,85;-159,43;3928;-9612;-14164;-391;2;101;-0,93;-1351,92;0,01
60;4720;60,76;-159,52;3708;-9504;-13940;-474;-27;138;-0,81;-1352,74;0,11
60;4740;60,69;-159,58;3884;-9584;-14252;-524;66;71;-0,71;-1353,45;0,1
60;4760;61,02;-159,24;18555;288;-7767;3884;-9584;21509;-0,62;-1354,07;0,09
60;4780;60,86;-159,44;3852;-9588;-14304;-462;10;-64;-0,93;-1355,94;0,01
60;4800;60,78;-159,51;3856;-9448;-14064;-468;25;80;-0,83;-1356,77;0,1
60;4820;60,7;-159,58;3892;-9532;-14176;-483;1;168;-0,73;-1357,5;0,1
60;4840;60,8;-156,14;3892;-9532;21509;0;0;168;-0,64;-1358,13;0,09
60;4860;60,64;-156,48;3804;-9568;-14200;-453;-11;193;-0,7;-1359,56;0,02
60;4880;60,56;-156,65;3780;-9512;-14152;-470;-9;68;-0,6;-1360,16;0,1
60;4900;60,48;-156,81;3908;-9556;-14120;-490;58;86;-0,51;-1360,66;0,09
60;4920;60,33;-157,16;3796;-9544;-14224;-491;-20;95;-0,4;-1361,47;0,02
60;4940;60,25;-157,3;3960;-9660;-14156;-474;25;57;-0,31;-1361,78;0,09
60;4960;60,17;-157,44;3976;-9528;-14052;-459;-16;97;-0,2;-1361,98;0,1
60;4980;60,1;-157,6;3892;-9616;-14064;-469;-15;141;-0,13;-1362,11;0,08
60;5000;59,96;-157,92;3820;-9544;-14128;-488;8;71;-0,03;-1362,17;0,0
60;5020;59,9;-158,07;3844;-9624;-14248;-467;18;155;0,05;-1362,12;0,08
60;5040;59,84;-158,22;3820;-9564;-14224;-487;31;113;0,13;-1361,99;0,08
60;5060;59,76;-158,37;3700;-9580;-13980;-460;-8;59;0,22;-1361,77;0,08
60;5080;59,62;-158,65;3844;-9524;-14172;-488;37;89;0,33;-1361,13;0,02
60;5100;59,56;-158,78;3828;-9644;-14048;-509;0;42;0,4;-1360,74;0,07
60;5120;59,49;-158,9;3840;-9544;-13952;-445;-13;108;0,48;-1360,26;0,08
60;5140;59,84;-158,63;18555;288;-7767;3840;-9544;21509;0,56;-1359,7;0,08
60;5160;59,71;-158,89;3808;-9584;-14168;-464;-25;84;0,23;-1359,25;0,01
60;5180;59,65;-159,01;3868;-9564;-14176;-483;11;129;0,31;-1358,93;0,08
60;5200;59,59;-159,14;3800;-9516;-14280;-464;16;101;0,39;-1358,54;0,08
60;5220;59,94;-158,86;18555;288;-7767;3800;-9516;21509;0,46;-1358,07;0,07
60;5240;59,79;-159,1;3860;-9592;-13924;-486;22;94;0,14;-1357,81;0,01
60;5260;59,73;-159,19;3936;-9548;-14152;-470;14;57;0,23;-1357,57;0,09
60;5280;59,67;-159,29;3920;-9652;-14148;-519;16;92;0,31;-1357,27;0,07
60;5300;60,01;-159,02;18555;288;-7767;3920;-9652;21509;0,38;-1356,88;0,08
60;5320;59,88;-159,26;3784;-9600;-14168;-488;-4;85;0,06;-1356,77;0,01
60;5340;59,82;-159,36;3840;-9548;-14196;-497;18;129;0,14;-1356,63;0,08
60;5360;59,76;-159,46;3952;-9596;-14148;-471;-25;69;0,21;-1356,42;0,07
60;5380;58,89;-156,82;3328;0;3328;18555;288;-7767;0,29;-1356,13;0,07
60;5400;58,83;-157,16;3876;-9540;-14092;-505;-13;101;1,14;-1353,84;-0,02
60;5420;58,81;-157,34;3840;-9560;-14136;-482;-4;41;1,17;-1352,67;0,03
60;5440;58,8;-157,51;3924;-9616;-14236;-499;11;91;1,2;-1351,47;0,03
60;5460;58,96;-154,15;3924;-9616;21509;-1;-1;91;1,23;-1350,24;0,03
60;5480;58,9;-154,63;3788;-9488;-13960;-490;69;133;1,06;-1348,08;-0,03
60;5500;58,88;-154,89;4072;-9724;-14448;-587;27;108;1,1;-1346,98;0,04
60;5520;58,85;-155,15;3840;-9568;-14168;-329;-131;-15;1,14;-1345,84;0,03
60;5540;59,25;-155,01;18555;288;-7767;3840;-9568;21509;1,18;-1344,66;0,04
60;5560;59,16;-155,48;3664;-9172;-13568;-383;-39;185;0,8;-1343,06;-0,0
60;5580;59,16;-155,7;4016;-9824;-14764;-677;266;116;0,83;-1342,23;0,03
60;5600;59,09;-155,96;3964;-9516;-14008;-278;-292;-215;0,89;-1341,34;0,06
60;5620;59,48;-155,75;18555;288;-7767;3964;-9516;21509;0,93;-1340,41;0,05
60;5640;59,4;-156,14;3872;-9624;-14016;-669;207;333;0,55;-1339,28;-0,02
60;5660;59,36;-156,37;3888;-9428;-14084;-309;-137;21;0,61;-1338,67;0,06
60;5680;59,34;-156,58;3896;-9588;-14340;-589;136;-30;0,67;-1338,0;0,05
60;5700;59,72;-156,39;18555;288;-7767;3896;-9588;21509;0,7;-1337,31;0,03
60;5720;59,63;-156,79;3792;-9476;-14124;-472;-42;-50;0,33;-1336,65;-0,0
60;5740;59,59;-156,96;3828;-9532;-14088;-556;208;278;0,38;-1336,27;0,05
60;5760;59,55;-157,16;3908;-9532;-14224;-385;-140;-13;0,44;-1335,83;0,06
60;5780;59,92;-156,95;18555;288;-7767;3908;-9532;21509;0,49;-1335,34;0,06
60;5800;59,79;-157,29;3892;-9568;-14032;-418;-75;109;0,15;-1335,05;0,01
60;5820;59,76;-157,46;3892;-9500;-14036;-535;37;96;0,21;-1334,84;0,06
60;5840;59,73;-157,62;3980;-9616;-14272;-495;41;150;0,26;-1334,58;0,06
60;5860;60,09;-157,39;18555;288;-7767;3980;-9616;21509;0,32;-1334,26;0,06
