Gas (‰);Time (ms);PositionX (°);PositionY (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
30;1220;56,8;-164,69;3884;-9516;-14012;-467;0;90;0,0;0,0;0,01
30;1240;56,82;-164,69;3884;-9524;-14164;-499;9;113;0,0;0,0;0,01
30;1260;56,79;-164,72;3740;-9600;-14024;-474;2;51;0,0;0,0;0,01
30;1280;56,79;-164,74;3760;-9628;-14192;-503;10;126;0,0;0,0;0,01
30;1300;56,79;-164,76;3804;-9656;-14220;-469;-1;104;0,0;0,0;0,01
30;1320;56,78;-164,77;3824;-9592;-14120;-485;16;76;0,0;0,0;0,01
30;1340;56,77;-164,79;3772;-9648;-14176;-461;-12;125;0,0;0,0;0,01
30;1360;56,77;-164,78;3876;-9592;-14064;-490;31;70;0,0;0,0;0,01
30;1380;56,76;-164,79;3772;-9536;-13996;-461;14;94;0,0;0,0;0,01
30;1400;56,75;-164,78;3912;-9624;-14148;-477;6;104;0,0;0,0;0,01
30;1420;56,77;-164,76;3916;-9540;-14188;-481;34;81;0,0;0,0;0,01
30;1440;56,77;-164,76;3872;-9552;-14084;-476;-12;99;0,0;0,0;0,01
30;1460;56,79;-164,78;3760;-9448;-14072;-508;9;64;0,0;0,0;0,01
30;1480;56,81;-164,78;3832;-9500;-14172;-518;-1;107;0,0;0,0;0,01
30;1500;56,8;-164,79;3816;-9568;-14096;-470;29;120;0,0;0,0;0,01
30;1520;56,79;-164,78;3844;-9600;-14012;-507;1;90;0,0;0,0;0,01
30;1540;56,79;-164,78;3840;-9588;-14164;-489;24;114;0,0;0,0;0,01
30;1560;56,81;-164,8;3800;-9448;-14116;-486;-17;79;0,0;0,0;0,01
30;1580;56,8;-164,79;3876;-9664;-14136;-469;32;108;0,0;0,0;0,01
30;1600;56,8;-164,79;3872;-9612;-14184;-498;4;88;0,0;0,0;0,01
30;1620;56,8;-164,82;3728;-9668;-14248;-491;7;79;0,0;0,0;0,01
30;1640;56,79;-164,83;3780;-9592;-14072;-507;-10;98;0,0;0,0;0,01
30;1660;56,8;-164,84;3792;-9520;-14124;-483;10;86;0,0;0,0;0,01
30;1680;56,8;-164,84;3832;-9576;-14176;-485;8;107;0,0;0,0;0,01
30;1700;56,81;-164,84;3868;-9576;-14240;-481;7;103;0,0;0,0;0,01
30;1720;56,8;-164,84;3844;-9620;-14108;-495;4;106;0,0;0,0;0,01
30;1740;56,8;-164,83;3904;-9656;-14160;-478;18;92;0,0;0,0;0,01
30;1760;56,81;-164,83;3876;-9572;-14224;-496;4;103;0,0;0,0;0,01
30;1780;56,81;-164,82;3880;-9580;-14156;-472;26;104;0,0;0,0;0,01
30;1800;56,81;-164,81;3876;-9660;-14188;-502;31;81;0,0;0,0;0,01
30;1820;56,81;-164,83;3812;-9592;-14216;-496;3;84;0,0;0,0;0,01
30;1840;56,82;-164,84;3796;-9532;-14164;-488;-10;110;0,0;0,0;0,01
30;1860;56,82;-164,85;3784;-9604;-14172;-505;14;95;0,0;0,0;0,01
30;1880;56,81;-164,83;3904;-9596;-14084;-491;15;135;0,0;0,0;0,01
30;1900;56,83;-164,83;3904;-9584;-14308;-515;0;88;0,0;0,0;0,01
30;1920;56,83;-164,83;3864;-9556;-14116;-500;21;75;0,0;0,0;0,01
30;1940;56,82;-164,81;3884;-9556;-13988;-464;1;85;0,0;0,0;0,01
30;1960;56,82;-164,81;3844;-9548;-14084;-460;28;74;0,0;0,0;0,01
30;1980;56,82;-164,79;3952;-9568;-14092;-490;-7;101;0,0;0,0;0,01
30;2000;56,81;-164,78;3904;-9600;-14072;-481;-4;91;0,0;0,0;0,01
30;2020;56,81;-164,77;3872;-9640;-14180;-485;22;99;0,0;0,0;0,01
30;2040;56,82;-164,77;3860;-9536;-14172;-489;1;111;0,0;0,0;0,01
30;2060;56,83;-164,77;3872;-9468;-14112;-477;-6;81;0,0;0,0;0,01
30;2080;56,82;-164,78;3772;-9580;-14028;-457;25;96;0,0;0,0;0,01
30;2100;56,82;-164,77;3884;-9532;-14056;-505;4;90;0,0;0,0;0,01
30;2120;56,82;-164,76;3884;-9564;-14084;-476;26;88;0,0;0,0;0,01
30;2140;56,81;-164,76;3828;-9536;-13992;-454;20;81;0,0;0,0;0,01
30;2160;56,8;-164,74;3892;-9592;-14000;-480;19;105;0,0;0,0;0,01
30;2180;56,78;-164,74;3852;-9604;-14012;-481;12;105;0,0;0,0;0,01
30;2200;56,79;-164,74;3828;-9588;-14200;-470;20;96;0,0;0,0;0,01
30;2220;56,78;-164,74;3872;-9632;-14080;-495;-2;84;0,0;0,0;0,01
30;2240;56,78;-164,72;3948;-9596;-14080;-470;36;91;0,0;0,0;0,01
30;2260;56,77;-164,72;3844;-9584;-14084;-501;4;91;0,0;0,0;0,01
30;2280;56,78;-164,73;3776;-9512;-14128;-463;3;98;0,0;0,0;0,01
30;2300;56,78;-164,74;3828;-9544;-14072;-503;-32;112;0,0;0,0;0,01
30;2320;56,79;-164,76;3768;-9536;-14240;-484;12;84;0,0;0,0;0,01
30;2340;56,81;-164,77;3792;-9488;-14168;-485;0;84;0,0;0,0;0,01
30;2360;56,82;-164,76;3904;-9452;-14168;-473;24;85;0,0;0,0;0,01
30;2380;56,81;-164,75;3856;-9560;-13932;-474;17;83;0,0;0,0;0,01
30;2400;56,81;-164,75;3900;-9604;-14120;-472;3;88;0,0;0,0;0,01
30;2420;56,8;-164,74;3880;-9564;-14104;-460;25;110;0,0;0,0;0,01
30;2440;56,8;-164,73;3916;-9588;-14088;-470;18;90;0,0;0,0;0,01
30;2460;56,79;-164,72;3840;-9552;-14044;-451;29;97;0,0;0,0;0,01
30;2480;56,8;-164,74;3796;-9492;-14172;-462;-9;97;0,0;0,0;0,01
30;2500;56,81;-164,75;3796;-9516;-14160;-453;21;110;0,0;0,0;0,01
30;2520;56,81;-164,75;3844;-9560;-14128;-449;6;102;0,0;0,0;0,01
30;2540;56,79;-164,77;3736;-9708;-14124;-451;-2;84;0,0;0,0;0,01
30;2560;56,78;-164,76;3856;-9572;-14056;-451;7;110;0,0;0,0;0,01
30;2580;56,78;-164,77;3800;-9584;-14136;-462;45;110;0,0;0,0;0,01
30;2600;56,77;-164,77;3848;-9516;-14032;-433;-7;49;0,0;0,0;0,01
30;2620;56,78;-164,76;3892;-9468;-14048;-473;4;99;0,0;0,0;0,01
30;2640;56,78;-164,77;3816;-9604;-14160;-473;-6;92;0,0;0,0;0,01
30;2660;56,79;-164,77;3848;-9500;-14180;-467;29;109;0,0;0,0;0,01
30;2680;56,79;-164,76;3824;-9556;-13980;-509;2;73;0,0;0,0;0,01
30;2700;56,78;-164,75;3944;-9668;-14112;-483;17;104;0,0;0,0;0,01
30;2720;56,79;-164,75;3868;-9528;-14168;-486;19;63;0,0;0,0;0,01
30;2740;56,79;-164,75;3852;-9632;-14252;-488;6;91;0,0;0,0;0,01
30;2760;56,79;-164,75;3820;-9552;-14080;-483;30;121;0,0;0,0;0,01
30;2780;56,78;-164,76;3788;-9660;-14096;-490;-15;93;0,0;0,0;0,01
30;2800;56,78;-164,78;3788;-9652;-14192;-464;15;103;0,0;0,0;0,01
30;2820;56,76;-164,77;3864;-9700;-14112;-487;25;94;0,0;0,0;0,01
30;2840;56,78;-164,78;3792;-9452;-14160;-458;1;111;0,0;0,0;0,01
30;2860;56,78;-164,77;3884;-9580;-14132;-466;38;119;0,0;0,0;0,01
30;2880;56,78;-164,78;3868;-9652;-14220;-483;-4;86;0,0;0,0;0,01
30;2900;56,78;-164,77;3848;-9456;-13976;-467;11;49;0,0;0,0;0,01
30;2920;56,77;-164,76;3928;-9676;-14072;-480;-7;154;0,0;0,0;0,01
30;2940;56,77;-164,76;3828;-9524;-14064;-469;21;32;0,0;0,0;0,01
30;2960;56,77;-164,75;3844;-9568;-14056;-483;38;155;0,0;0,0;0,01
30;2980;56,76;-164,76;3780;-9564;-14040;-472;-7;81;0,0;0,0;0,01
30;3000;56,77;-164,76;3840;-9492;-14096;-491;16;60;0,0;0,0;0,01
30;3020;56,76;-164,76;3828;-9556;-14004;-472;6;225;0,0;0,0;0,01
30;3040;56,77;-164,75;3896;-9584;-14116;-505;0;-11;0,0;0,0;0,01
30;3060;56,76;-164,76;3792;-9624;-14112;-487;26;130;0,0;0,0;0,01
30;3080;56,76;-164,75;3892;-9556;-13984;-466;8;94;0,0;0,0;0,01
30;3100;56,76;-164,75;3844;-9476;-13992;-500;-11;13;0,0;0,0;0,01
30;3120;56,75;-164,75;3836;-9624;-14052;-470;14;200;0,0;0,0;0,01
30;3140;56,75;-164,76;3792;-9580;-14152;-495;2;42;0,0;0,0;0,01
30;3160;56,75;-164,74;3908;-9596;-14056;-487;15;88;0,0;0,0;0,01
30;3180;56,75;-164,76;3788;-9612;-14176;-461;3;165;0,0;0,0;0,01
30;3200;56,75;-164,76;3828;-9632;-14152;-503;17;9;0,0;0,0;0,01
30;3220;56,75;-164,76;3836;-9600;-14116;-496;11;161;0,0;0,0;0,01
30;3240;56,75;-164,76;3852;-9608;-14176;-482;28;67;0,0;0,0;0,01
30;3260;56,77;-164,77;3792;-9512;-14276;-492;25;75;0,0;0,0;0,01
30;3280;56,79;-164,76;3952;-9448;-14164;-470;-19;167;0,0;0,0;0,01
30;3300;56,78;-164,78;3720;-9632;-14076;-495;20;75;0,0;0,0;0,01
30;3320;56,78;-164,77;3940;-9576;-14180;-464;5;108;0,0;0,0;0,01
30;3340;56,79;-164,77;3832;-9552;-14204;-486;3;94;0,0;0,0;0,01
30;3360;56,79;-164,77;3908;-9664;-14152;-494;14;79;0,0;0,0;0,01
30;3380;56,78;-164,76;3880;-9692;-14160;-489;10;144;0,0;0,0;0,01
30;3400;56,77;-164,76;3844;-9628;-14076;-484;16;62;0,0;0,0;0,01
30;3420;56,78;-164,76;3872;-9516;-14140;-483;11;95;0,0;0,0;0,01
30;3440;56,77;-164,76;3824;-9712;-14144;-486;18;123;0,0;0,0;0,01
30;3460;56,78;-164,75;3932;-9568;-14180;-505;19;92;0,0;0,0;0,01
30;3480;56,78;-164,76;3760;-9552;-14056;-474;6;96;0,0;0,0;0,01
30;3500;56,77;-164,77;3784;-9524;-13980;-484;-15;88;0,0;0,0;0,01
30;3520;56,77;-164,76;3884;-9612;-14096;-480;1;64;0,0;0,0;0,01
30;3540;56,76;-164,78;3756;-9588;-14088;-485;-6;127;0,0;0,0;0,01
30;3560;56,77;-164,78;3844;-9608;-14156;-498;6;72;0,0;0,0;0,01
30;3580;56,77;-164,77;3916;-9536;-14048;-480;-19;104;0,0;0,0;0,01
30;3600;56,77;-164,76;3928;-9556;-14104;-477;8;108;0,0;0,0;0,01
30;3620;56,78;-164,75;3896;-9536;-14128;-512;18;92;0,0;0,0;0,01
30;3640;56,76;-164,75;3796;-9656;-14024;-480;-1;107;0,0;0,0;0,01
30;3660;56,77;-164,75;3836;-9548;-14132;-499;29;84;0,0;0,0;0,01
30;3680;56,77;-164,76;3812;-9560;-14064;-480;-23;85;0,0;0,0;0,01
30;3700;56,77;-164,76;3872;-9628;-14172;-459;11;95;0,0;0,0;0,01
30;3720;56,77;-164,74;3960;-9524;-14056;-501;22;75;0,0;0,0;0,01
30;3740;56,77;-164,72;3980;-9520;-14016;-471;-4;94;0,0;0,0;0,01
30;3760;56,76;-164,71;3920;-9648;-14084;-478;-7;93;0,0;0,0;0,01
30;3780;56,77;-164,72;3768;-9512;-14096;-461;1;99;0,0;0,0;0,01
30;3800;56,77;-164,72;3852;-9544;-14080;-483;-14;99;0,0;0,0;0,01
30;3820;56,78;-164,73;3804;-9488;-14196;-477;-13;100;0,0;0,0;0,01
30;3840;56,79;-164,74;3824;-9600;-14180;-481;7;73;0,0;0,0;0,01
30;3860;56,79;-164,73;3908;-9516;-14044;-487;1;85;0,0;0,0;0,01
30;3880;56,79;-164,76;3716;-9584;-14140;-480;-46;96;0,0;0,0;0,01
30;3900;56,79;-164,76;3848;-9576;-14076;-486;-8;63;0,0;0,0;0,01
30;3920;56,78;-164,77;3736;-9560;-14092;-464;-3;131;0,0;0,0;0,01
30;3940;56,79;-164,77;3908;-9576;-14196;-472;24;94;0,0;0,0;0,01
30;3960;56,79;-164,76;3892;-9528;-14112;-471;6;90;0,0;0,0;0,01
30;3980;56,8;-164,77;3744;-9500;-14104;-473;-11;119;0,0;0,0;0,01
30;4000;56,79;-164,77;3860;-9552;-14012;-493;10;70;0,0;0,0;0,01
30;4020;56,8;-164,77;3812;-9488;-14096;-472;-13;87;0,0;0,0;0,01
30;4040;56,81;-164,78;3804;-9548;-14228;-475;17;95;0,0;0,0;0,01
30;4060;56,82;-164,79;3760;-9548;-14148;-525;25;63;0,0;0,0;0,01
30;4080;56,81;-164,78;3892;-9568;-14032;-468;0;123;0,0;0,0;0,01
30;4100;56,8;-164,79;3784;-9536;-13956;-483;5;91;0,0;0,0;0,01
30;4120;56,8;-164,79;3820;-9596;-14104;-464;-17;108;0,0;0,0;0,01
30;4140;56,79;-164,8;3776;-9576;-14060;-481;16;105;0,0;0,0;0,01
30;4160;56,79;-164,79;3924;-9552;-14096;-471;3;52;0,0;0,0;0,01
30;4180;56,8;-164,78;3928;-9540;-14160;-495;-8;100;0,0;0,0;0,01
30;4200;56,8;-164,76;3952;-9596;-14152;-458;-18;116;0,0;0,0;0,01
30;4220;56,8;-164,77;3824;-9572;-14112;-470;-22;94;0,0;0,0;0,01
30;4240;56,81;-164,77;3848;-9532;-14156;-457;11;116;0,0;0,0;0,01
30;4260;56,8;-164,78;3768;-9616;-14148;-485;11;95;0,0;0,0;0,01
30;4280;56,8;-164,78;3904;-9596;-14156;-480;3;53;0,0;0,0;0,01
30;4300;56,81;-164,77;3920;-9544;-14144;-485;14;107;0,0;0,0;0,01
30;4320;56,81;-164,77;3824;-9588;-14152;-496;31;68;0,0;0,0;0,01
30;4340;56,81;-164,76;3868;-9600;-14080;-472;13;96;0,0;0,0;0,01
30;4360;56,81;-164,76;3840;-9512;-13996;-478;21;98;0,0;0,0;0,01
30;4380;56,8;-164,76;3800;-9544;-14040;-476;-3;73;0,0;0,0;0,01
30;4400;56,79;-164,75;3852;-9600;-13932;-508;15;139;0,0;0,0;0,01
30;4420;56,79;-164,77;3772;-9572;-14192;-463;7;78;0,0;0,0;0,01
30;4440;56,79;-164,76;3876;-9680;-14152;-505;21;107;0,0;0,0;0,01
30;4460;56,79;-164,74;3968;-9548;-14060;-472;-1;93;0,0;0,0;0,01
30;4480;56,79;-164,73;3908;-9568;-14056;-473;15;80;0,0;0,0;0,01
30;4500;56,78;-164,73;3860;-9588;-14044;-468;-11;115;0,0;0,0;0,01
30;4520;56,79;-164,75;3776;-9600;-14300;-499;16;67;0,0;0,0;0,01
30;4540;56,78;-164,74;3884;-9620;-14052;-492;2;98;0,0;0,0;0,01
30;4560;56,78;-164,72;3952;-9684;-14112;-504;11;101;0,0;0,0;0,01
30;4580;56,79;-164,72;3916;-9564;-14208;-488;20;92;0,0;0,0;0,01
30;4600;56,78;-164,71;3860;-9596;-14072;-469;34;113;0,0;0,0;0,01
30;4620;56,78;-164,72;3832;-9568;-14176;-485;-4;64;0,0;0,0;0,01
30;4640;56,78;-164,72;3788;-9636;-14080;-481;30;114;0,0;0,0;0,01
30;4660;56,78;-164,73;3820;-9584;-14224;-505;-3;81;0,0;0,0;0,01
30;4680;56,78;-164,74;3844;-9616;-14156;-478;4;96;0,0;0,0;0,01
30;4700;56,79;-164,74;3860;-9536;-14076;-512;-13;108;0,0;0,0;0,01
30;4720;56,79;-164,74;3864;-9600;-14156;-476;0;72;0,0;0,0;0,01
30;4740;56,8;-164,72;3968;-9480;-14072;-478;18;122;0,0;0,0;0,01
30;4760;56,79;-164,72;3824;-9580;-14060;-488;-8;86;0,0;0,0;0,01
30;4780;56,79;-164,73;3772;-9572;-14084;-460;-10;89;0,0;0,0;0,01
30;4800;56,78;-164,73;3888;-9588;-14052;-479;-1;115;0,0;0,0;0,01
30;4820;56,79;-164,73;3824;-9512;-14032;-493;-8;74;0,0;0,0;0,01
30;4840;56,79;-164,73;3828;-9512;-14172;-455;19;126;0,0;0,0;0,01
30;4860;56,8;-164,74;3808;-9516;-14200;-484;-9;69;0,0;0,0;0,01
30;4880;56,8;-164,73;3920;-9616;-14032;-501;12;90;0,0;0,0;0,01
30;4900;56,79;-164,73;3812;-9588;-14076;-486;13;82;0,0;0,0;0,01
30;4920;56,79;-164,73;3892;-9620;-14124;-484;-5;73;0,0;0,0;0,01
30;4940;56,79;-164,73;3892;-9576;-14188;-467;7;110;0,0;0,0;0,01
30;4960;56,8;-164,73;3840;-9504;-14160;-473;-30;87;0,0;0,0;0,01
40;4980;56,77;-164,76;3836;-9636;-14136;-470;6;80;0,0;0,0;0,01
40;5000;56,76;-164,74;3920;-9596;-14080;-484;3;72;0,0;0,0;0,01
40;5020;56,75;-164,73;3892;-9700;-14104;-501;4;113;0,0;0,0;0,01
40;5040;56,75;-164,75;3764;-9572;-14152;-492;38;96;0,0;0,0;0,01
40;5060;56,74;-164,76;3780;-9624;-14080;-481;-1;89;0,0;0,0;0,01
40;5080;56,73;-164,76;3800;-9628;-14044;-468;30;92;0,0;0,0;0,01
40;5100;56,75;-164,77;3840;-9484;-14196;-493;20;89;0,0;0,0;0,01
40;5120;56,78;-164,78;3816;-9520;-14268;-490;20;93;0,0;0,0;0,01
40;5140;56,79;-164,77;3924;-9600;-14188;-499;25;81;0,0;0,0;0,01
40;5160;56,79;-164,78;3824;-9600;-14160;-481;-5;91;0,0;0,0;0,01
40;5180;56,78;-164,77;3852;-9584;-14080;-500;31;128;0,0;0,0;0,01
40;5200;56,78;-164,77;3864;-9600;-14100;-495;-13;79;0,0;0,0;0,01
40;5220;56,79;-164,77;3852;-9584;-14216;-474;-9;97;0,0;0,0;0,01
40;5240;56,79;-164,77;3828;-9564;-14128;-483;13;77;0,0;0,0;0,01
40;5260;56,78;-164,77;3852;-9628;-14032;-500;-5;108;0,0;0,0;0,01
40;5280;56,76;-164,78;3776;-9588;-13972;-459;0;87;0,0;0,0;0,01
40;5300;56,75;-164,76;3880;-9608;-14004;-481;8;96;0,0;0,0;0,01
40;5320;56,76;-164,78;3776;-9588;-14224;-468;13;124;0,0;0,0;0,01
40;5340;56,75;-164,78;3856;-9688;-14140;-504;-4;85;0,0;0,0;0,01
40;5360;56,76;-164,79;3784;-9468;-14088;-480;-4;94;0,0;0,0;0,01
40;5380;56,76;-164,78;3888;-9604;-14096;-472;42;102;0,0;0,0;0,01
40;5400;56,74;-164,78;3800;-9616;-13980;-470;10;35;0,0;0,0;0,01
40;5420;56,73;-164,78;3820;-9680;-14088;-458;32;113;0,0;0,0;0,01
40;5440;56,72;-164,77;3880;-9640;-14064;-502;28;61;0,0;0,0;0,01
40;5460;56,73;-164,76;3852;-9540;-14096;-499;21;110;0,0;0,0;0,01
40;5480;56,72;-164,75;3932;-9648;-14088;-470;8;118;0,0;0,0;0,01
40;5500;56,73;-164,75;3860;-9532;-14136;-478;22;68;0,0;0,0;0,01
40;5520;56,72;-164,75;3804;-9620;-14088;-491;5;121;0,0;0,0;0,01
40;5540;56,73;-164,75;3840;-9520;-14076;-484;8;96;0,0;0,0;0,01
40;5560;56,75;-164,75;3848;-9484;-14152;-475;-7;39;0,0;0,0;0,01
40;5580;56,74;-164,75;3888;-9644;-14124;-496;6;129;0,0;0,0;0,01
40;5600;56,75;-164,75;3872;-9608;-14184;-487;22;51;0,0;0,0;0,01
40;5620;56,76;-164,76;3796;-9520;-14164;-472;-7;120;0,0;0,0;0,01
40;5640;56,75;-164,75;3860;-9624;-14132;-478;20;114;0,0;0,0;0,01
40;5660;56,76;-164,75;3844;-9564;-14116;-489;20;83;0,0;0,0;0,01
40;5680;56,74;-164,74;3904;-9676;-14072;-468;13;110;0,0;0,0;0,01
40;5700;56,74;-164,75;3756;-9600;-14020;-510;13;66;0,0;0,0;0,01
40;5720;56,72;-164,74;3884;-9672;-13988;-470;-15;76;0,0;0,0;0,01
40;5740;56,72;-164,73;3916;-9612;-14080;-511;3;130;0,0;0,0;0,01
40;5760;56,71;-164,73;3840;-9640;-14100;-490;3;75;0,0;0,0;0,01
40;5780;56,72;-164,73;3896;-9604;-14200;-495;11;124;0,0;0,0;0,01
40;5800;56,73;-164,73;3880;-9608;-14284;-476;27;80;0,0;0,0;0,01
40;5820;56,73;-164,73;3848;-9600;-14008;-524;2;103;0,0;0,0;0,01
40;5840;56,73;-164,73;3840;-9608;-14124;-490;18;91;0,0;0,0;0,01
40;5860;56,73;-164,74;3800;-9512;-14076;-488;4;96;0,0;0,0;0,01
40;5880;56,74;-164,75;3812;-9616;-14236;-467;14;100;0,0;0,0;0,01
40;5900;56,73;-164,76;3756;-9568;-14016;-494;-3;113;0,0;0,0;0,01
40;5920;56,74;-164,75;3916;-9604;-14248;-477;-6;77;0,0;0,0;0,01
40;5940;56,75;-164,76;3820;-9592;-14180;-478;-20;94;0,0;0,0;0,01
40;5960;56,75;-164,77;3836;-9584;-14148;-481;-16;113;0,0;0,0;0,01
40;5980;56,74;-164,75;3928;-9616;-14028;-508;30;105;0,0;0,0;0,01
40;6000;56,74;-164,76;3820;-9636;-14156;-477;-13;102;0,0;0,0;0,01
40;6020;56,74;-164,75;3860;-9568;-14056;-485;35;107;0,0;0,0;0,01
40;6040;56,73;-164,75;3872;-9636;-14104;-477;5;100;0,0;0,0;0,01
40;6060;56,74;-164,74;3844;-9536;-14116;-476;36;101;0,0;0,0;0,01
40;6080;56,73;-164,73;3888;-9616;-13964;-487;1;77;0,0;0,0;0,01
40;6100;56,72;-164,73;3828;-9568;-14000;-487;-5;87;0,0;0,0;0,01
40;6120;56,71;-164,74;3784;-9692;-14156;-466;18;117;0,0;0,0;0,01
40;6140;56,72;-164,76;3760;-9584;-14196;-479;-4;87;0,0;0,0;0,01
40;6160;56,72;-164,76;3856;-9552;-14104;-469;18;99;0,0;0,0;0,01
40;6180;56,72;-164,76;3848;-9600;-14148;-480;35;94;0,0;0,0;0,01
40;6200;56,72;-164,76;3828;-9584;-14080;-488;15;85;0,0;0,0;0,01
40;6220;56,73;-164,75;3864;-9544;-14140;-460;23;98;0,0;0,0;0,01
40;6240;56,73;-164,75;3904;-9596;-14100;-470;-3;88;0,0;0,0;0,01
