Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;1100;8,87;-114,44;460;-16596;-316;-324;-10;32;51,0;5387,41;0,32
60;1120;11,0;-115,55;18555;288;-7767;460;-16596;21509;51,3;5438,7;0,3
60;1140;10,41;-114,86;464;-16692;8;-336;-8;58;49,36;5537,3;0,13
60;1160;10,11;-114,81;604;-16616;-204;-352;-16;62;49,73;5587,03;0,37
60;1180;9,79;-114,91;460;-16620;-148;-339;-37;63;50,06;5637,09;0,33
60;1200;9,29;-115,09;460;-16608;-220;-340;-7;46;50,51;5738,0;0,11
60;1220;9,0;-114,65;524;-16640;-160;-348;-16;60;50,83;5788,83;0,32
60;1240;8,73;-114,57;496;-16596;-336;-330;-1;50;51,14;5839,97;0,3
60;1260;8,46;-114,39;456;-16652;-192;-338;-25;34;51,42;5891,39;0,28
60;1280;8,03;-114,5;468;-16592;-260;-348;-8;50;51,81;5994,9;0,1
60;1300;7,78;-114,82;440;-16684;-256;-352;-20;46;52,08;6046,98;0,27
60;1320;7,53;-114,24;424;-16664;-216;-336;-21;55;52,34;6099,33;0,26
60;1340;7,3;-114,38;464;-16672;-264;-329;-18;58;52,6;6151,92;0,25
60;1360;6,95;-114,48;472;-16604;-232;-338;8;51;52,93;6257,68;0,1
60;1380;6,75;-114,79;496;-16552;-324;-345;-8;49;53,14;6310,82;0,22
60;1400;6,55;-114,54;436;-16556;-212;-333;-20;40;53,34;6364,16;0,2
60;1420;6,37;-114,91;480;-16620;-384;-335;-28;33;53,55;6417,71;0,21
60;1440;6,09;-115,86;448;-16620;-336;-364;-30;41;53,8;6525,25;0,07
60;1460;5,91;-115,54;440;-16652;-200;-363;-27;39;53,99;6579,24;0,19
60;1480;5,74;-116,03;440;-16660;-396;-342;-14;63;54,18;6633,41;0,19
60;1500;5,57;-116,15;448;-16612;-212;-340;-34;36;54,35;6687,76;0,17
60;1520;5,33;-116,77;460;-16588;-288;-349;-27;49;54,58;6796,86;0,07
60;1540;5,18;-116,57;448;-16660;-312;-328;-8;54;54,74;6851,6;0,16
60;1560;5,02;-116,56;432;-16684;-184;-311;3;54;54,9;6906,49;0,15
60;1580;4,87;-116,55;356;-16576;-244;-335;-18;54;55,05;6961,55;0,16
60;1600;4,68;-117,16;448;-16708;-356;-334;-24;68;55,26;7072,01;0,05
60;1620;4,55;-117,22;452;-16568;-352;-361;-36;49;55,39;7127,4;0,13
60;1640;4,43;-117,16;484;-16564;-256;-336;-14;28;55,51;7182,91;0,12
60;1660;4,29;-116,92;424;-16616;-272;-343;-8;53;55,64;7238,56;0,13
60;1680;4,12;-116,75;452;-16652;-252;-364;-38;41;55,82;7350,14;0,05
60;1700;4,02;-116,87;456;-16500;-208;-332;-24;51;55,92;7406,07;0,11
60;1720;3,92;-116,95;452;-16592;-364;-348;-32;37;56,04;7462,1;0,11
60;1740;5,91;-118,3;18555;288;-7767;452;-16592;21509;56,14;7518,24;0,1
60;1760;5,65;-117,8;404;-16656;-248;-352;-15;49;54,26;7626,69;0,07
60;1780;5,49;-117,86;400;-16588;-216;-337;-14;31;54,42;7681,11;0,16
60;1800;5,35;-118,31;496;-16640;-284;-338;-20;61;54,58;7735,69;0,16
60;1820;7,28;-119,55;18555;288;-7767;496;-16640;21509;54,72;7790,41;0,14
60;1840;6,95;-119,36;468;-16608;-192;-351;-10;41;52,93;7896,19;0,09
60;1860;6,76;-119,41;496;-16556;-300;-330;-14;46;53,14;7949,34;0,21
60;1880;6,57;-119,19;496;-16672;-280;-338;-15;52;53,34;8002,68;0,2
60;1900;8,43;-120,17;18555;288;-7767;496;-16672;21509;53,54;8056,22;0,2
60;1920;8,05;-120,07;508;-16492;-272;-345;-15;47;51,81;8159,75;0,1
60;1940;7,82;-119,98;488;-16636;-280;-342;9;40;52,06;8211,81;0,24
60;1960;7,62;-120,04;560;-16684;-368;-323;-8;60;52,29;8264,1;0,23
60;1980;9,43;-121,3;18555;288;-7767;560;-16684;21509;52,5;8316,6;0,22
60;2000;8,99;-120,91;452;-16680;-260;-360;-17;52;50,85;8418,19;0,11
60;2020;8,73;-120,8;488;-16712;-308;-336;16;69;51,14;8469,32;0,29
60;2040;8,48;-120,82;416;-16604;-360;-361;-5;65;51,4;8520,72;0,26
60;2060;10,27;-122,04;18555;288;-7767;416;-16604;21509;51,65;8572,37;0,25
60;2080;9,79;-121,75;484;-16516;-272;-329;-40;42;50,04;8672,33;0,12
60;2100;9,51;-121,43;436;-16684;-168;-372;-6;56;50,33;8722,66;0,3
60;2120;9,23;-120,93;408;-16624;-220;-352;-14;53;50,63;8773,3;0,3
60;2140;10,98;-121,97;18555;288;-7767;408;-16624;21509;50,92;8824,22;0,29
60;2160;10,45;-121,25;516;-16572;-116;-333;-26;36;49,36;8922,79;0,14
60;2180;10,15;-121,12;464;-16548;-416;-340;-15;57;49,69;8972,48;0,33
60;2200;9,85;-120,68;524;-16636;-252;-357;-50;45;50,01;9022,49;0,32
60;2220;10,07;-118,33;3328;0;3328;18555;288;-7767;50,31;9072,8;0,3
60;2240;9,61;-118,5;516;-16616;-308;-339;-22;53;50,22;9173,14;0,11
60;2260;9,36;-118,33;556;-16616;-312;-331;0;47;50,51;9223,65;0,28
60;2280;9,12;-118,43;480;-16684;-424;-351;-40;55;50,77;9274,42;0,27
60;2300;10,01;-115,54;480;-16684;21509;0;0;55;51,03;9325,45;0,26
60;2320;9,56;-116,18;468;-16544;-340;-332;-32;49;50,29;9425,91;0,11
60;2340;9,29;-115,84;472;-16648;-332;-329;-20;45;50,57;9476,48;0,29
60;2360;9,05;-115,88;468;-16620;-440;-338;-33;57;50,84;9527,32;0,27
60;2380;8,64;-115,93;492;-16596;-220;-347;-46;52;51,2;9629,62;0,1
60;2400;8,4;-116,0;404;-16636;-320;-361;-15;64;51,46;9681,08;0,26
60;2420;8,16;-115,44;476;-16552;-88;-339;-19;53;51,71;9732,8;0,25
60;2440;7,94;-115,89;420;-16564;-252;-334;-24;60;51,96;9784,76;0,24
60;2460;7,59;-115,74;468;-16560;-136;-336;-10;74;52,28;9889,22;0,08
60;2480;7,39;-115,69;532;-16668;-236;-329;-17;61;52,5;9941,72;0,22
60;2500;7,17;-115,67;468;-16624;-252;-336;-50;57;52,72;9994,45;0,22
60;2520;6,96;-115,75;312;-16604;-280;-327;-31;32;52,94;10047,39;0,22
60;2540;6,65;-115,42;500;-16572;-96;-341;-26;47;53,24;10153,78;0,08
60;2560;6,46;-115,48;412;-16604;-228;-349;17;66;53,44;10207,22;0,2
60;2580;6,28;-115,59;520;-16588;-336;-345;-16;29;53,64;10260,85;0,2
60;2600;6,1;-115,38;412;-16556;-136;-346;-27;59;53,81;10314,67;0,17
60;2620;5,84;-115,57;468;-16576;-192;-350;-13;56;54,07;10422,73;0,07
60;2640;5,68;-115,72;448;-16552;-328;-332;-31;41;54,24;10476,96;0,17
60;2660;5,53;-115,33;552;-16668;-168;-357;-23;42;54,4;10531,36;0,16
60;2680;5,38;-115,16;456;-16660;-188;-367;-22;60;54,54;10585,91;0,15
60;2700;5,16;-115,43;384;-16604;-288;-340;-41;55;54,76;10695,36;0,07
60;2720;5,03;-115,75;488;-16632;-372;-343;-13;65;54,91;10750,26;0,15
60;2740;4,89;-115,76;472;-16628;-248;-351;-7;55;55,04;10805,3;0,14
60;2760;4,74;-115,82;492;-16644;-180;-340;-25;56;55,19;10860,49;0,15
60;2780;4,55;-115,98;484;-16620;-356;-343;-20;43;55,39;10971,21;0,06
60;2800;4,43;-116,01;456;-16612;-316;-320;-2;58;55,51;11026,72;0,12
60;2820;4,31;-115,86;516;-16608;-176;-338;-4;40;55,64;11082,35;0,13
60;2840;4,18;-115,96;424;-16632;-172;-322;-37;54;55,75;11138,11;0,12
60;2860;4,04;-115,94;524;-16544;-248;-343;-20;52;55,91;11249,89;0,04
60;2880;3,93;-115,97;456;-16620;-240;-337;5;52;56,02;11305,9;0,11
60;2900;3,82;-115,86;432;-16620;-164;-348;-11;56;56,12;11362,03;0,1
60;2920;3,71;-115,76;436;-16608;-348;-334;-36;34;56,23;11418,26;0,11
60;2940;3,58;-115,45;508;-16624;-220;-345;-38;62;56,38;11530,97;0,05
60;2960;3,48;-115,88;500;-16720;-316;-370;-12;72;56,48;11587,45;0,1
60;2980;3,38;-116,01;412;-16632;-260;-334;-15;55;56,57;11644,02;0,09
60;3000;3,29;-115,78;384;-16608;-220;-338;-16;57;56,66;11700,68;0,09
60;3020;3,17;-115,34;532;-16560;-124;-353;-23;51;56,8;11814,22;0,05
60;3040;3,09;-115,28;488;-16652;-288;-343;2;39;56,87;11871,09;0,08
60;3060;3,03;-115,28;508;-16592;-180;-345;0;50;56,93;11928,03;0,06
60;3080;2,95;-115,51;424;-16600;-320;-365;-33;48;57,01;11985,03;0,07
60;3100;2,87;-115,12;524;-16608;-236;-352;-7;51;57,11;12099,22;0,04
60;3120;2,79;-115,14;444;-16588;-184;-339;-2;42;57,18;12156,39;0,06
60;3140;2,73;-115,19;520;-16600;-260;-344;1;43;57,24;12213,63;0,06
60;3160;2,67;-115,31;500;-16536;-300;-349;-13;52;57,29;12270,92;0,06
60;3180;2,6;-115,02;472;-16696;-240;-339;-29;53;57,38;12385,65;0,04
60;3200;2,54;-114,96;492;-16552;-236;-347;-13;46;57,44;12443,09;0,06
60;3220;2,48;-115,14;480;-16676;-252;-329;-25;43;57,49;12500,58;0,05
60;3240;2,42;-115,21;428;-16584;-236;-353;-20;52;57,54;12558,12;0,05
60;3260;2,35;-115,09;368;-16680;-108;-356;-23;55;57,63;12673,35;0,03
60;3280;2,3;-114,97;504;-16612;-308;-334;-26;50;57,69;12731,04;0,06
60;3300;2,24;-114,81;428;-16600;-164;-349;-8;60;57,73;12788,76;0,04
60;3320;2,2;-115,12;492;-16660;-336;-342;-13;62;57,78;12846,54;0,05
60;3340;2,14;-115,14;468;-16656;-172;-335;-3;39;57,85;12962,2;0,03
60;3360;2,09;-115,19;444;-16680;-276;-341;-11;51;57,89;13020,09;0,05
60;3380;2,05;-115,43;480;-16560;-168;-340;-29;62;57,93;13078,02;0,04
60;3400;2,01;-115,96;388;-16656;-320;-337;-38;39;57,96;13135,98;0,03
60;3420;1,97;-116,26;460;-16592;-248;-364;-32;42;58,02;13252,0;0,02
60;3440;1,93;-116,08;412;-16548;-200;-336;-5;39;58,06;13310,06;0,04
60;3460;1,89;-116,26;388;-16580;-228;-352;-29;54;58,09;13368,15;0,03
60;3480;1,86;-116,13;560;-16616;-220;-357;6;50;58,13;13426,27;0,04
60;3500;1,82;-116,02;480;-16632;-264;-331;-53;61;58,18;13542,6;0,03
60;3520;1,79;-116,04;444;-16616;-204;-367;-26;48;58,2;13600,79;0,02
60;3540;1,77;-116,19;456;-16660;-244;-353;-23;39;58,22;13659,01;0,02
60;3560;3,69;-117,25;16507;288;-7767;456;-16660;21509;58,24;13717,25;0,03
60;3580;3,57;-117,08;472;-16540;-272;-348;-29;53;56,39;13829,99;0,04
60;3600;3,48;-117,04;452;-16556;-212;-351;-20;66;56,47;13886,46;0,08
60;3620;3,41;-116,99;416;-16656;-268;-350;-40;27;56,55;13943,02;0,08
60;3640;4,44;-114,22;416;-16656;21509;-1;-1;27;56,64;13999,65;0,08
60;3660;4,28;-114,11;500;-16568;-256;-353;-2;54;55,66;14110,94;0,04
60;3680;4,2;-114,64;456;-16596;-408;-343;-33;34;55,76;14166,69;0,09
60;3700;4,1;-114,31;480;-16696;-180;-329;-13;52;55,85;14222,55;0,1
60;3720;5,96;-115,65;18555;288;-7767;480;-16696;21509;55,95;14278,5;0,1
60;3740;5,73;-115,94;480;-16652;-244;-343;-23;44;54,18;14386,81;0,06
60;3760;5,59;-115,92;480;-16588;-228;-347;-6;56;54,34;14441,15;0,15
60;3780;5,45;-115,92;472;-16648;-208;-341;-25;52;54,48;14495,63;0,14
60;3800;7,27;-117,12;18555;288;-7767;472;-16648;21509;54,63;14550,25;0,15
60;3820;6,97;-117,16;452;-16484;-252;-339;-11;66;52,92;14656,02;0,08
60;3840;6,78;-117,1;416;-16536;-236;-352;-15;35;53,12;14709,14;0,2
60;3860;6,6;-117,35;464;-16608;-276;-363;-50;47;53,31;14762,45;0,19
60;3880;8,39;-118,43;18555;288;-7767;464;-16608;21509;53,5;14815,95;0,18
60;3900;8,02;-118,19;512;-16668;-176;-344;-19;63;51,84;14919,54;0,1
60;3920;7,81;-117,99;524;-16620;-212;-332;-9;65;52,07;14971,61;0,23
60;3940;7,6;-118,28;384;-16564;-360;-362;-25;53;52,3;15023,91;0,23
60;3960;9,36;-119,4;18555;288;-7767;384;-16564;21509;52,52;15076,43;0,22
60;3980;8,93;-119,02;420;-16596;-244;-349;-13;40;50,92;15178,16;0,11
60;4000;8,68;-118,8;452;-16656;-160;-356;-18;56;51,18;15229,34;0,26
60;4020;8,46;-118,89;436;-16684;-296;-323;-6;83;51,43;15280,77;0,25
60;4040;10,18;-119,76;18555;288;-7767;436;-16684;21509;51,68;15332,45;0,25
60;4060;9,72;-119,39;548;-16656;-116;-345;-8;40;50,11;15432,56;0,12
60;4080;9,44;-119,3;452;-16668;-268;-344;-9;75;50,41;15482,97;0,3
60;4100;9,19;-119,1;568;-16660;-300;-348;-45;49;50,69;15533,66;0,28
60;4120;10,88;-120,22;18555;288;-7767;568;-16660;21509;50,96;15584,62;0,27
60;4140;10,37;-120,14;484;-16576;-240;-362;-28;31;49,45;15683,39;0,13
60;4160;10,07;-119,96;424;-16620;-248;-327;-40;59;49,77;15733,15;0,32
60;4180;9,77;-119,35;428;-16584;-168;-358;-10;58;50,09;15783,24;0,32
60;4200;11,46;-120,4;18555;288;-7767;428;-16584;21509;50,38;15833,62;0,3
60;4220;10,92;-119,88;500;-16552;-152;-339;5;71;48,88;15931,24;0,14
60;4240;10,61;-119,53;504;-16596;-244;-341;-8;64;49,23;15980,47;0,34
60;4260;10,3;-119,37;464;-16620;-208;-336;-1;58;49,55;16030,02;0,32
60;4280;11,95;-120,52;18555;288;-7767;464;-16620;21509;49,88;16079,89;0,33
60;4300;11,38;-120,57;404;-16572;-204;-341;-34;32;48,41;16176,56;0,15
60;4320;11,04;-120,48;404;-16604;-320;-327;-6;50;48,77;16225,34;0,37
60;4340;10,71;-119,8;392;-16620;-16;-345;-23;52;49,13;16274,46;0,35
60;4360;12,35;-120,52;18555;288;-7767;392;-16620;21509;49,47;16323,94;0,35
60;4380;11,77;-120,41;468;-16640;-288;-346;-16;40;48,02;16419,83;0,15
60;4400;11,41;-120,29;356;-16664;-320;-342;-17;49;48,4;16468,23;0,38
60;4420;11,07;-120,46;464;-16648;-304;-343;-29;59;48,77;16517,0;0,37
60;4440;12,69;-121,21;18555;288;-7767;464;-16648;21509;49,12;16566,12;0,35
60;4460;12,08;-121,04;564;-16600;-240;-358;-17;40;47,7;16661,37;0,16
60;4480;11,72;-120,42;548;-16608;-228;-344;8;54;48,09;16709,46;0,39
60;4500;11,37;-120,12;540;-16676;-324;-349;-24;47;48,47;16757,93;0,37
60;4520;11,48;-118,24;3328;0;3328;18555;288;-7767;48,83;16806,76;0,36
60;4540;10,95;-118,25;436;-16620;-204;-326;-21;52;48,85;16904,34;0,13
60;4560;10,63;-117,46;500;-16548;-180;-343;-3;46;49,21;16953,55;0,35
60;4580;10,32;-116,95;460;-16608;-280;-339;5;54;49,54;17003,09;0,33
60;4600;11,98;-118,0;18555;288;-7767;460;-16608;21509;49,85;17052,94;0,32
60;4620;11,42;-117,65;460;-16572;-376;-359;-11;54;48,38;17149,56;0,14
60;4640;11,09;-117,99;464;-16596;-312;-350;-26;56;48,73;17198,29;0,35
60;4660;10,76;-117,89;388;-16556;-244;-341;-31;72;49,08;17247,37;0,35
60;4680;12,41;-119,44;18555;288;-7767;388;-16556;21509;49,42;17296,8;0,34
60;4700;11,81;-118,64;444;-16708;-184;-338;-47;49;47,97;17392,58;0,16
60;4720;11,46;-118,65;476;-16528;-308;-360;0;42;48,35;17440,93;0,38
60;4740;11,13;-118,58;492;-16660;-272;-345;-21;55;48,71;17489,64;0,36
60;4760;11,93;-115,97;492;-16660;21509;0;0;55;49,05;17538,69;0,34
60;4780;11,37;-116,19;604;-16676;-296;-349;-18;49;48,44;17635,42;0,15
60;4800;11,04;-116,21;452;-16632;-392;-359;-17;57;48,79;17684,21;0,35
60;4820;10,71;-116,03;504;-16580;-260;-346;-26;57;49,14;17733,35;0,35
60;4840;10,2;-115,87;520;-16528;-244;-344;-11;49;49,62;17832,44;0,14
60;4860;9,9;-115,98;544;-16548;-320;-354;-21;57;49,94;17882,38;0,32
60;4880;9,61;-115,95;440;-16588;-300;-340;-27;62;50,24;17932,62;0,3
60;4900;9,3;-115,08;468;-16592;-64;-343;-20;44;50,56;17983,18;0,32
60;4920;8,85;-114,54;492;-16520;-152;-353;-29;41;51,0;18085,04;0,13
60;4940;8,58;-114,54;452;-16660;-324;-338;2;43;51,28;18136,33;0,28
60;4960;8,31;-114,1;448;-16652;-128;-345;-19;53;51,56;18187,89;0,28
60;4980;10,0;-115,45;18555;288;-7767;448;-16652;21509;51,83;18239,72;0,27
60;5000;9,54;-115,43;552;-16652;-288;-336;-7;60;50,3;18340,19;0,13
