Consigne Gaz (‰);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
30;460;9,16;10,18;2192;-16708;300;614;496;48;0,0;0,0;0,17
30;480;9,26;20,68;-2704;-16404;1036;537;-126;43;0,0;0,0;0,17
30;500;8,93;5,46;1760;-16732;-872;542;-1326;68;0,0;0,0;0,17
30;520;8,58;-1,0;1632;-16464;876;511;810;74;0,0;0,0;0,17
30;540;8,49;9,89;-2244;-16352;668;489;-814;92;0,0;0,0;0,17
30;560;8,49;0,49;2544;-16500;240;544;235;155;0,0;0,0;0,17
30;580;8,2;6,42;-1080;-16524;1468;513;908;174;0,0;0,0;0,17
30;600;7,53;21,76;-684;-16704;-476;447;-1245;169;0,0;0,0;0,17
30;620;7,52;13,15;2372;-16960;608;410;837;175;0,0;0,0;0,17
30;640;7,42;21,28;-2004;-16392;712;334;-597;140;0,0;0,0;0,17
30;660;7,84;10,21;3544;-16648;-672;272;-276;139;0,0;0,0;0,17
30;680;7,47;14,17;-756;-16344;1220;263;776;145;0,0;0,0;0,17
30;700;6,83;23,83;-624;-16496;-28;201;-1075;203;0,0;0,0;0,17
30;720;7,26;14,55;3652;-16856;92;164;614;66;0,0;0,0;0,17
30;740;7,65;20,88;-3108;-16112;1588;87;-149;107;0,0;0,0;0,17
30;760;8,22;11,28;4288;-16656;-436;50;-655;134;0,0;0,0;0,17
30;780;7,85;9,19;648;-16476;1328;15;731;35;0,0;0,0;0,17
30;800;7,37;15,13;-920;-16580;516;-122;-700;-6;0,0;0,0;0,17
30;820;7,59;7,66;3236;-16800;412;-105;320;-18;0,0;0,0;0,17
30;840;7,51;11,84;-1500;-16176;1652;-206;-49;58;0,0;0,0;0,17
30;860;7,56;4,13;2752;-16672;24;-273;-457;6;0,0;0,0;0,17
30;880;7,45;-0,18;1868;-16528;1156;-333;1033;-15;0,0;0,0;0,17
30;900;7,36;7,11;-2200;-16268;452;-425;-928;-4;0,0;0,0;0,17
30;920;7,41;0,58;2744;-16524;292;-430;365;-8;0,0;0,0;0,17
30;940;7,39;5,23;-1836;-16264;1664;-499;595;-29;0,0;0,0;0,17
30;960;6,97;-4,23;944;-16680;-592;-628;-1164;10;0,0;0,0;0,17
30;980;7,23;-8,75;3368;-16720;1196;-616;1134;50;0,0;0,0;0,17
30;1000;7,38;-2,06;-3068;-16400;944;-749;-589;37;0,0;0,0;0,17
30;1020;7,55;-7,83;3388;-16708;252;-769;63;69;0,0;0,0;0,17
30;1040;7,8;-2,82;-2792;-15896;2168;-754;765;57;0,0;0,0;0,17
30;1060;7,3;-11,21;680;-16324;-428;-853;-1152;52;0,0;0,0;0,17
30;1080;7,68;-15,57;4280;-16984;964;-867;1199;47;0,0;0,0;0,17
30;1100;7,68;-10,19;-2300;-16308;1488;-976;-268;25;0,0;0,0;0,17
30;1120;7,62;-15,61;2572;-16736;-88;-981;215;69;0,0;0,0;0,17
30;1140;7,75;-10,67;-2540;-16064;1996;-943;497;42;0,0;0,0;0,17
30;1160;7,46;-16,44;1572;-16524;-212;-1030;-826;38;0,0;0,0;0,17
30;1180;7,49;-21,14;2956;-17012;40;-965;675;61;0,0;0,0;0,17
30;1200;7,15;-16,04;-1044;-16492;732;-1085;-359;-20;0,0;0,0;0,17
30;1220;7,1;-20,73;2492;-16836;-20;-1042;543;-12;0,0;0,0;0,17
30;1240;7,02;-17,22;-1152;-16516;1984;-1033;1411;-59;0,0;0,0;0,17
30;1260;7,39;-10,86;-4260;-16300;624;-1019;-939;15;0,0;0,0;0,17
30;1280;7,75;-15,77;4476;-16880;-228;-963;173;-62;0,0;0,0;0,17
30;1300;7,41;-12,1;-788;-16416;904;-1058;-346;-43;0,0;0,0;0,17
30;1320;7,99;-17,17;5736;-17116;-692;-1048;-507;25;0,0;0,0;0,17
30;1340;7,71;-14,98;-360;-16668;1428;-1006;1418;-108;0,0;0,0;0,17
30;1360;8,06;-9,18;-4328;-16432;736;-917;-971;101;0,0;0,0;0,17
30;1380;8,36;-13,38;4296;-16720;412;-866;267;10;0,0;0,0;0,17
30;1400;8,02;-12,85;132;-16212;1060;-857;-290;61;0,0;0,0;0,17
30;1420;8,56;-17,73;5748;-17304;-912;-907;-183;27;0,0;0,0;0,17
30;1440;8,51;-13,04;-2172;-16400;1300;-835;1338;-42;0,0;0,0;0,17
30;1460;8,85;-7,48;-4436;-16156;528;-756;-1216;154;0,0;0,0;0,17
30;1480;8,55;-11,78;1168;-16456;28;-652;200;42;0,0;0,0;0,17
30;1500;8,28;-7,9;-1040;-16376;756;-611;-186;113;0,0;0,0;0,17
30;1520;8,91;-12,67;6424;-17504;-836;-704;-428;85;0,0;0,0;0,17
30;1540;9,18;-16,19;4400;-17300;600;-608;1472;11;0,0;0,0;0,17
30;1560;9,52;-11,0;-4440;-16364;1012;-548;-342;126;0,0;0,0;0,17
30;1580;9,36;-14,96;1864;-16232;76;-411;223;119;0,0;0,0;0,17
30;1600;9,4;-11,11;-2276;-16252;1624;-336;-111;98;0,0;0,0;0,17
30;1620;9,5;-15,68;3200;-16728;-428;-312;-1301;71;0,0;0,0;0,17
30;1640;9,87;-19,02;5008;-17384;604;-290;1253;-6;0,0;0,0;0,17
30;1660;10,3;-13,84;-5064;-16256;888;-276;-672;67;0,0;0,0;0,17
30;1680;10,37;-17,69;3056;-16380;-20;-108;142;-16;0,0;0,0;0,17
30;1700;10,45;-13,24;-2840;-16136;1252;-85;328;97;0,0;0,0;0,17
30;1720;10,41;-17,62;2572;-16816;-368;-127;-1419;9;0,0;0,0;0,17
30;1740;10,6;-20,86;3924;-17284;332;-23;1352;-38;0,0;0,0;0,17
30;1760;10,51;-16,19;-2164;-16620;712;-80;-256;64;0,0;0,0;0,17
30;1780;10,46;-19,86;2388;-16796;-48;28;207;-12;0,0;0,0;0,17
30;1800;10,73;-15,63;-3696;-16072;1840;164;298;71;0,0;0,0;0,17
30;1820;10,69;-19,86;2380;-16572;-412;113;-1166;149;0,0;0,0;0,17
30;1840;11,07;-23,37;5136;-17028;-248;213;578;9;0,0;0,0;0,17
30;1860;10,83;-19,4;-1124;-16532;688;143;1;102;0,0;0,0;0,17
30;1880;10,71;-22,74;1980;-16936;32;170;213;106;0,0;0,0;0,17
30;1900;10,68;-19,27;-1740;-16548;1648;265;1305;95;0,0;0,0;0,17
30;1920;10,92;-14,57;-3920;-16028;628;311;-1373;171;0,0;0,0;0,17
30;1940;11,37;-18,08;5640;-16868;-56;309;213;80;0,0;0,0;0,17
30;1960;11,15;-15,63;-764;-16340;1208;206;138;109;0,0;0,0;0,17
30;1980;11,38;-19,52;4308;-17008;-688;159;-299;84;0,0;0,0;0,17
30;2000;11,45;-15,57;-2752;-16548;1512;284;1196;69;0,0;0,0;0,17
30;2020;11,59;-11,31;-3448;-15808;792;282;-1439;164;0,0;0,0;0,17
30;2040;11,85;-15,03;4584;-16908;-372;308;123;70;0,0;0,0;0,17
30;2060;11,62;-11,4;-1172;-16016;628;269;-79;87;0,0;0,0;0,17
30;2080;11,87;-15,26;4728;-17196;-596;105;-527;0;0,0;0,0;0,17
30;2100;11,83;-11,74;-2208;-16516;1456;218;1294;66;0,0;0,0;0,17
30;2120;12,05;-7,64;-4208;-16044;824;226;-1548;93;0,0;0,0;0,17
30;2140;11,9;-11,44;1912;-16632;-184;257;-34;70;0,0;0,0;0,17
30;2160;11,64;-10,53;-124;-16212;1308;155;145;105;0,0;0,0;0,17
30;2180;11,96;-14,25;5352;-17200;-472;16;-500;19;0,0;0,0;0,17
30;2200;12,13;-16,97;4308;-16988;804;46;1133;35;0,0;0,0;0,17
30;2220;12,37;-13,09;-4404;-16176;1656;1;-298;81;0,0;0,0;0,17
30;2240;12,07;-15,06;996;-16308;592;80;-131;41;0,0;0,0;0,17
30;2260;11,8;-15,03;360;-16112;1256;6;30;76;0,0;0,0;0,17
30;2280;11,86;-19,06;3536;-16752;-852;-85;-1587;131;0,0;0,0;0,17
30;2300;12,01;-21,73;4364;-16992;564;-149;1137;3;0,0;0,0;0,17
30;2320;12,4;-17,57;-5672;-16200;1564;-155;-395;47;0,0;0,0;0,17
30;2340;11,97;-18,97;340;-16320;280;-109;74;85;0,0;0,0;0,17
30;2360;12,12;-15,46;-3564;-15684;2052;-116;537;77;0,0;0,0;0,17
30;2380;12,09;-19,15;3164;-16620;-432;-278;-1659;145;0,0;0,0;0,17
30;2400;12,4;-21,87;5892;-17224;520;-361;1044;49;0,0;0,0;0,17
30;2420;12,03;-21,83;372;-16768;1000;-484;114;43;0,0;0,0;0,17
30;2440;11,91;-24,1;2712;-16720;732;-514;303;45;0,0;0,0;0,17
30;2460;12,03;-20,64;-3432;-15984;2352;-413;972;89;0,0;0,0;0,17
30;2480;11,63;-23,83;744;-16040;-8;-473;-1694;111;0,0;0,0;0,17
30;2500;11,79;-26,57;4556;-16412;220;-493;278;79;0,0;0,0;0,17
30;2520;11,42;-24,94;-244;-16448;1016;-680;132;45;0,0;0,0;0,17
30;2540;11,34;-27,64;3192;-17076;164;-731;63;-62;0,0;0,0;0,17
30;2560;11,68;-23,75;-5116;-15820;2476;-607;931;15;0,0;0,0;0,17
30;2580;11,91;-19,53;-5012;-15868;856;-655;-1178;78;0,0;0,0;0,17
30;2600;11,88;-22,44;3388;-16500;84;-626;-105;-11;0,0;0,0;0,17
30;2620;11,56;-23,78;1176;-16660;860;-795;81;-13;0,0;0,0;0,17
30;2640;11,49;-26,81;3428;-17328;-288;-886;9;-60;0,0;0,0;0,17
30;2660;11,16;-25,67;44;-16888;1388;-854;1714;-163;0,0;0,0;0,17
30;2680;11,45;-21,53;-5484;-16204;1228;-792;-893;42;0,0;0,0;0,17
30;2700;11,46;-24,36;3588;-16516;40;-709;133;53;0,0;0,0;0,17
30;2720;11,29;-21,23;-1792;-15664;1380;-770;-105;74;0,0;0,0;0,17
30;2740;11,46;-24,53;5016;-16996;-720;-907;-983;21;0,0;0,0;0,17
30;2760;11,13;-24,95;860;-16984;1120;-901;1558;-71;0,0;0,0;0,17
30;2780;11,45;-21,13;-5508;-15972;1840;-874;-929;21;0,0;0,0;0,17
30;2800;11,01;-21,7;288;-16648;408;-806;173;58;0,0;0,0;0,17
30;2820;10,89;-18,62;-2024;-16028;1536;-792;214;137;0,0;0,0;0,17
30;2840;10,99;-22,1;4308;-16792;-888;-890;-981;9;0,0;0,0;0,17
30;2860;10,81;-23,72;2076;-17068;968;-842;1466;-31;0,0;0,0;0,17
30;2880;10,73;-19,93;-2836;-16696;1012;-926;-156;44;0,0;0,0;0,17
30;2900;10,32;-22,64;512;-16404;28;-767;79;44;0,0;0,0;0,17
30;2920;10,24;-19,26;-2232;-15884;1288;-727;384;77;0,0;0,0;0,17
30;2940;10,27;-22,73;3584;-16956;-784;-782;-961;136;0,0;0,0;0,17
30;2960;10,62;-25,31;6224;-17324;244;-745;852;67;0,0;0,0;0,17
30;2980;10,5;-21,53;-2448;-16756;872;-799;-300;-3;0,0;0,0;0,17
30;3000;10,08;-20,51;-12;-16340;200;-669;159;67;0,0;0,0;0,17
30;3020;10,22;-16,91;-3700;-16184;1688;-563;973;38;0,0;0,0;0,17
30;3040;9,97;-12,77;-1316;-15808;24;-568;-1798;122;0,0;0,0;0,17
30;3060;10,37;-15,84;6400;-17216;-348;-565;637;11;0,0;0,0;0,17
30;3080;10,11;-13,33;-976;-16960;992;-647;2;-47;0,0;0,0;0,17
30;3100;10,27;-16,54;4500;-17344;-392;-600;7;-77;0,0;0,0;0,17
30;3120;10,69;-12,8;-5744;-16192;1944;-371;1210;50;0,0;0,0;0,17
30;3140;10,56;-8,81;-1988;-15516;24;-390;-2163;40;0,0;0,0;0,17
30;3160;11,02;-11,97;7052;-17504;-304;-356;477;2;0,0;0,0;0,17
30;3180;10,9;-15,06;2336;-17004;-32;-412;-260;45;0,0;0,0;0,17
30;3200;10,88;-18,52;3064;-17380;-676;-444;-1;-55;0,0;0,0;0,17
30;3220;11,12;-14,71;-4508;-16240;1392;-214;989;86;0,0;0,0;0,17
30;3240;11,6;-11,08;-6468;-16232;1656;-222;-719;63;0,0;0,0;0,17
30;3260;11,58;-13,84;2708;-15856;364;-90;-135;103;0,0;0,0;0,17
30;3280;11,36;-16,09;1436;-16752;488;-180;-205;56;0,0;0,0;0,17
30;3300;11,62;-19,22;5368;-17568;-508;-242;-26;8;0,0;0,0;0,17
30;3320;11,69;-21,35;3784;-17700;860;-130;1804;-48;0,0;0,0;0,17
30;3340;12,17;-17,44;-6560;-16084;1372;-154;-594;89;0,0;0,0;0,17
30;3360;11,85;-19,19;568;-15784;312;110;-198;102;0,0;0,0;0,17
30;3380;11,82;-21,7;2776;-16740;424;14;-220;159;0,0;0,0;0,17
30;3400;12,26;-25,09;6648;-17264;-1452;-68;-1258;34;0,0;0,0;0,17
30;3420;12,06;-26,55;1624;-17352;772;-6;1854;-22;0,0;0,0;0,17
30;3440;12,55;-22,71;-6300;-15724;1712;50;-1046;41;0,0;0,0;0,17
30;3460;12,66;-25,57;3800;-16204;-228;165;46;95;0,0;0,0;0,17
30;3480;12,7;-21,71;-3140;-15832;888;179;-358;38;0,0;0,0;0,17
30;3500;13,1;-25,17;6312;-17180;-1576;36;-1367;72;0,0;0,0;0,17
30;3520;12,77;-25,54;584;-17300;764;39;1736;-37;0,0;0,0;0,17
30;3540;12,83;-22,18;-3196;-16516;1824;3;60;-39;0,0;0,0;0,17
30;3560;12,49;-19,21;-516;-16352;392;188;-13;36;0,0;0,0;0,17
30;3580;12,41;-16,84;-1512;-15976;1816;216;47;117;0,0;0,0;0,17
30;3600;12,71;-20,22;5532;-16792;-892;40;-1307;55;0,0;0,0;0,17
30;3620;13,23;-23,14;7584;-17232;-724;86;856;-9;0,0;0,0;0,17
30;3640;13,28;-19,31;-3688;-16672;1064;-17;-126;4;0,0;0,0;0,17
30;3660;12,85;-12,39;-80;-16600;-164;111;-135;89;0,0;0,0;0,17
30;3680;12,93;-9,24;-3192;-15792;1600;188;162;160;0,0;0,0;0,17
30;3700;12,58;-7,42;-420;-16056;548;110;-1743;138;0,0;0,0;0,17
30;3720;12,99;-10,62;6764;-17400;-528;47;874;117;0,0;0,0;0,17
30;3740;13,05;-7,04;-3808;-16340;888;-95;-356;43;0,0;0,0;0,17
30;3760;12,72;-8,67;720;-16564;552;56;170;68;0,0;0,0;0,17
30;3780;12,8;-5,93;-3088;-16228;2304;65;1022;157;0,0;0,0;0,17
30;3800;12,44;-2,38;-676;-16164;84;0;-1644;141;0,0;0,0;0,17
30;3820;12,82;-5,63;6592;-17176;-112;-66;556;67;0,0;0,0;0,17
30;3840;12,6;-7,21;1392;-16428;1192;-131;-116;61;0,0;0,0;0,17
30;3860;12,62;-10,58;3732;-17132;-360;-204;-6;60;0,0;0,0;0,17
30;3880;12,67;-7,99;-2828;-16020;2420;-107;735;62;0,0;0,0;0,17
30;3900;12,41;-4,79;-1428;-16124;456;-164;-1367;115;0,0;0,0;0,17
30;3920;12,3;-7,83;2576;-16188;200;-112;27;103;0,0;0,0;0,17
30;3940;11,96;-8,33;384;-16324;884;-293;-190;14;0,0;0,0;0,17
30;3960;12,05;-11,71;4464;-17528;-492;-393;-52;-4;0,0;0,0;0,17
30;3980;12,11;-8,94;-3052;-16204;2364;-285;1260;59;0,0;0,0;0,17
30;4000;12,46;-5,4;-6036;-15904;1152;-445;-845;-27;0,0;0,0;0,17
30;4020;12,18;-7,81;1396;-16104;512;-273;-9;74;0,0;0,0;0,17
30;4040;11,9;-9,11;1000;-15996;1060;-437;-230;77;0,0;0,0;0,17
30;4060;12,05;-12,62;5080;-17444;-804;-553;-382;-41;0,0;0,0;0,17
30;4080;12,11;-14,96;4212;-17392;976;-546;1493;-30;0,0;0,0;0,17
30;4100;12,36;-11,4;-5452;-16352;1432;-561;-514;13;0,0;0,0;0,17
30;4120;12,02;-13,18;876;-16092;536;-405;127;85;0,0;0,0;0,17
30;4140;12,21;-9,77;-4564;-15568;1556;-459;101;124;0,0;0,0;0,17
30;4160;12,19;-13,56;3500;-16672;-848;-580;-1444;106;0,0;0,0;0,17
30;4180;12,35;-16,1;5240;-17188;676;-684;1377;-63;0,0;0,0;0,17
30;4200;12,59;-12,36;-5684;-16580;1116;-707;-212;64;0,0;0,0;0,17
30;4220;12,14;-14,17;492;-16660;280;-699;231;-3;0,0;0,0;0,17
30;4240;12,5;-10,84;-5696;-15468;2224;-566;202;87;0,0;0,0;0,17
30;4260;12,49;-14,48;3796;-16504;-688;-695;-1704;101;0,0;0,0;0,17
30;4280;12,78;-17,04;6452;-17364;660;-754;1538;-14;0,0;0,0;0,17
30;4300;12,37;-16,28;-32;-16892;1004;-805;190;-30;0,0;0,0;0,17
30;4320;12,12;-18,67;2024;-16764;440;-784;327;0;0,0;0,0;0,17
30;4340;12,32;-15,46;-4472;-15840;2436;-626;616;74;0,0;0,0;0,17
30;4360;12,52;-11,89;-5004;-15684;1060;-687;-1302;126;0,0;0,0;0,17
30;4380;12,72;-14,84;5504;-16844;124;-639;244;62;0,0;0,0;0,17
30;4400;12,31;-12,07;-724;-16540;512;-813;-54;-48;0,0;0,0;0,17
30;4420;12,1;-14,91;2380;-16820;156;-777;300;-69;0,0;0,0;0,17
30;4440;12,01;-12,1;-2388;-16380;1888;-722;1419;-33;0,0;0,0;0,17
30;4460;12,1;-8,43;-4336;-16160;568;-672;-1180;36;0,0;0,0;0,17
30;4480;12,11;-11,27;3740;-16432;388;-608;373;52;0,0;0,0;0,17
30;4500;11,74;-11,0;92;-16516;968;-726;-246;57;0,0;0,0;0,17
30;4520;12,05;-14,57;6436;-17400;-1212;-739;-835;1;0,0;0,0;0,17
30;4540;11,74;-15,31;876;-16696;1112;-679;1562;-13;0,0;0,0;0,17
30;4560;11,89;-11,83;-4508;-16168;1268;-613;-747;97;0,0;0,0;0,17
30;4580;11,49;-9,99;-360;-16504;556;-558;232;73;0,0;0,0;0,17
30;4600;11,45;-7,26;-2500;-15776;1600;-505;-189;109;0,0;0,0;0,17
30;4620;11,8;-11,0;6424;-17080;-1424;-638;-929;57;0,0;0,0;0,17
30;4640;11,58;-12,59;1692;-17104;1104;-590;1589;4;0,0;0,0;0,17
30;4660;11,46;-9,61;-2380;-16776;1244;-618;-202;92;0,0;0,0;0,17
30;4680;11,09;-9,11;-4;-16148;640;-426;175;105;0,0;0,0;0,17
30;4700;10,97;-6,17;-2036;-16004;1000;-357;-253;107;0,0;0,0;0,17
30;4720;11,3;-9,75;6200;-17348;-892;-478;-722;60;0,0;0,0;0,17
30;4740;11,67;-12,61;6620;-17396;340;-430;1056;-2;0,0;0,0;0,17
30;4760;11,75;-9,0;-3972;-16792;832;-428;-84;47;0,0;0,0;0,17
30;4780;11,39;-10,61;512;-15980;400;-247;34;41;0,0;0,0;0,17
30;4800;11,6;-7,29;-4332;-15788;1548;-190;537;74;0,0;0,0;0,17
30;4820;11,22;-12,21;288;-16360;-244;-220;-1473;15;0,0;0,0;0,17
30;4840;11,56;-14,97;6232;-17396;504;-255;867;-21;0,0;0,0;0,17
30;4860;11,75;-11,41;-4568;-16524;1200;-254;-63;-45;0,0;0,0;0,17
30;4880;11,4;-15,04;680;-16984;-192;-220;459;-73;0,0;0,0;0,17
30;4900;11,75;-11,53;-5232;-15784;1608;-10;338;87;0,0;0,0;0,17
30;4920;11,74;-15,51;2996;-16528;-1040;-138;-1455;-16;0,0;0,0;0,17
30;4940;12,01;-18,35;5644;-17540;-40;-153;1228;-11;0,0;0,0;0,17
30;4960;11,73;-15,22;-1136;-16584;596;-204;-100;-47;0,0;0,0;0,17
40;4980;14,57;-15,26;7604;-17152;-624;391;-519;161;0,0;0,0;0,17
40;5000;15,62;-9,55;-8056;-15600;2928;445;-178;21;0,0;0,0;0,17
40;5020;16,66;-14,99;10332;-18192;-776;500;75;69;0,0;0,0;0,17
40;5040;17,48;-9,38;-8056;-16072;2272;601;31;22;0,0;0,0;0,17
40;5060;18,49;-14,49;10976;-18084;-828;649;89;38;0,0;0,0;0,17
40;5080;18,84;-9,86;-5296;-14616;2288;706;-1741;110;0,0;0,0;0,17
40;5100;18,57;-5,82;-2920;-17808;1872;851;1008;-37;0,0;0,0;0,17
40;5120;17,9;-4,98;-176;-15136;936;797;-1810;51;0,0;0,0;0,17
40;5140;18,88;-0,3;-10480;-17000;2344;937;257;117;0,0;0,0;0,17
40;5160;19,96;-4,83;12244;-17196;8;875;1266;-19;0,0;0,0;0,17
40;5180;21,13;-0,61;-12036;-15836;3016;978;-1587;128;0,0;0,0;0,17
40;5200;20,55;-1,85;872;-16968;1460;1069;1706;24;0,0;0,0;0,17
40;5220;20,83;-5,82;6628;-16804;1132;961;-1027;118;0,0;0,0;0,17
40;5240;20,62;-9,43;3440;-16136;804;1070;-1253;228;0,0;0,0;0,17
40;5260;20,47;-6,26;-3084;-16940;2412;1147;685;68;0,0;0,0;0,17
40;5280;21,32;-10,15;11996;-18204;552;1068;-204;162;0,0;0,0;0,17
40;5300;20,95;-13,39;2464;-15188;648;1031;-1439;70;0,0;0,0;0,17
40;5320;22,01;-9,34;-11940;-15736;3512;1174;-787;175;0,0;0,0;0,17
40;5340;23,11;-12,93;14708;-16804;332;1001;767;-8;0,0;0,0;0,17
40;5360;22,78;-9,87;-2740;-16176;1668;992;-2465;156;0,0;0,0;0,17
40;5380;22,77;-6,13;-4732;-15576;1732;1068;543;-9;0,0;0,0;0,17
40;5400;22,78;-8,86;5068;-16680;2132;913;-543;48;0,0;0,0;0,17
40;5420;22,98;-12,31;6988;-16732;616;888;-863;73;0,0;0,0;0,17
40;5440;23,52;-8,55;-8156;-14336;2272;886;-1112;115;0,0;0,0;0,17
40;5460;23,88;-4,88;-8284;-16888;2720;862;599;11;0,0;0,0;0,17
40;5480;24,59;-8,51;11728;-16100;84;623;-273;44;0,0;0,0;0,17
40;5500;25,28;-5,0;-11072;-15760;2648;683;-2311;114;0,0;0,0;0,17
40;5520;25,15;-1,98;-4280;-15736;2664;754;1874;18;0,0;0,0;0,17
40;5540;24,55;-0,01;-1384;-17076;1632;506;54;74;0,0;0,0;0,17
40;5560;24,34;-3,64;4720;-16656;168;421;-399;109;0,0;0,0;0,17
40;5580;24,56;-0,6;-6608;-14568;2804;368;-805;15;0,0;0,0;0,17
40;5600;24,61;2,24;-6176;-17028;3216;332;136;35;0,0;0,0;0,17
40;5620;25,08;-1,2;10116;-15644;932;85;224;-7;0,0;0,0;0,17
40;5640;25,32;1,8;-7932;-15644;2516;38;-2120;139;0,0;0,0;0,17
40;5660;25,18;4,66;-4788;-15536;2508;95;1253;-19;0,0;0,0;0,17
40;5680;24,58;6,06;-1308;-16832;2108;-148;473;-55;0,0;0,0;0,17
40;5700;24,19;2,72;3868;-16332;804;-278;-659;78;0,0;0,0;0,17
40;5720;24,2;5,42;-5624;-14500;2604;-321;-676;9;0,0;0,0;0,17
40;5740;24,38;8,35;-8212;-16992;2916;-343;121;63;0,0;0,0;0,17
40;5760;24,52;5,1;8492;-16776;980;-526;2491;-38;0,0;0,0;0,17
40;5780;24,38;7,64;-5420;-15696;2184;-660;-2310;235;0,0;0,0;0,17
40;5800;24,29;10,38;-5580;-15284;2360;-611;799;53;0,0;0,0;0,17
40;5820;24,38;13,19;-7496;-16072;2536;-720;350;33;0,0;0,0;0,17
40;5840;24,56;9,46;9392;-16996;828;-921;-297;32;0,0;0,0;0,17
40;5860;24,11;12,0;-3308;-14704;1336;-971;-923;-53;0,0;0,0;0,17
40;5880;24,65;14,61;-11564;-15892;4068;-914;-345;144;0,0;0,0;0,17
40;5900;24,3;11,52;4956;-17300;1272;-1031;2532;-81;0,0;0,0;0,17
40;5920;23,65;12,76;-1724;-15900;1896;-1250;-2407;122;0,0;0,0;0,17
40;5940;23,65;15,54;-6588;-15000;1844;-1142;410;-10;0,0;0,0;0,17
40;5960;23,66;18,12;-7216;-16276;2524;-1225;674;-32;0,0;0,0;0,17
40;5980;23,47;15,01;6400;-18456;2184;-1311;1267;95;0,0;0,0;0,17
40;6000;22,75;16,7;-1484;-14788;1156;-1364;-786;-34;0,0;0,0;0,17
40;6020;23,47;19,23;-13792;-15684;3972;-1333;-514;128;0,0;0,0;0,17
40;6040;23,07;16,5;4128;-17084;1852;-1359;3111;-25;0,0;0,0;0,17
40;6060;22,85;13,05;6044;-17480;1332;-1502;-96;-9;0,0;0,0;0,17
40;6080;22,52;15,72;-4288;-15380;1260;-1354;154;29;0,0;0,0;0,17
40;6100;22,71;18,27;-8240;-15544;2836;-1367;637;-25;0,0;0,0;0,17
40;6120;22,1;17,32;764;-17772;2700;-1343;1003;49;0,0;0,0;0,17
40;6140;21,65;13,78;3384;-14996;720;-1491;-566;-77;0,0;0,0;0,17
40;6160;22,26;16,32;-12408;-15704;3316;-1385;-1238;67;0,0;0,0;0,17
40;6180;21,66;17,03;-876;-16364;2208;-1235;2375;-85;0,0;0,0;0,17
40;6200;21,07;14,88;1816;-17096;1832;-1352;204;-40;0,0;0,0;0,17
40;6220;20,35;11,8;1284;-16172;512;-1253;-451;15;0,0;0,0;0,17
40;6240;20,57;14,44;-7552;-14896;2188;-1208;-104;-160;0,0;0,0;0,17
40;6260;20,41;16,32;-4704;-17344;3236;-1124;402;40;0,0;0,0;0,17
40;6280;20,81;12,68;11020;-17412;352;-1184;2031;-120;0,0;0,0;0,17
40;6300;21,16;14,97;-8940;-15584;2956;-1113;-2132;118;0,0;0,0;0,17
40;6320;21,05;17,48;-5112;-15916;1964;-867;1617;-17;0,0;0,0;0,17
