Angle (°);PositionX (°);PositionY (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D;Time
60;56,88;-165,05;3720;-9528;-14252;-468;24;68;3,12;-1159,14;-0,01;880
60;56,88;-165,04;3796;-9556;-14116;-486;12;86;3,12;-1156,02;-0,0;900
60;56,87;-165,03;3820;-9684;-14152;-479;6;105;3,12;-1152,9;0,0;920
60;56,87;-165,03;3856;-9624;-14184;-481;0;96;3,13;-1149,77;0,01;940
60;56,84;-165,02;3764;-9668;-14164;-491;3;55;3,15;-1143,48;0,01;960
60;56,85;-165,03;3792;-9540;-14180;-497;17;103;3,15;-1140,33;0,0;980
60;56,86;-165,02;3780;-9608;-14144;-501;-19;101;3,14;-1137,19;-0,01;1000
60;56,86;-165,02;3808;-9532;-14196;-478;21;119;3,14;-1134,05;0,0;1020
60;56,86;-165,02;3792;-9544;-14192;-465;-2;88;3,15;-1127,76;0,0;1040
60;56,87;-165,01;3816;-9496;-14216;-490;18;83;3,14;-1124,62;-0,0;1060
60;56,87;-165,02;3760;-9632;-14156;-499;1;110;3,12;-1121,49;-0,02;1080
60;56,87;-165,01;3796;-9536;-14104;-504;20;83;3,13;-1118,36;0,01;1100
60;56,86;-165,01;3768;-9564;-14056;-485;-27;87;3,14;-1112,09;0,01;1120
60;56,86;-165,0;3892;-9472;-14092;-489;23;91;3,15;-1108,93;0,01;1140
60;56,85;-164,99;3928;-9652;-14104;-479;15;70;3,14;-1105,79;-0,01;1160
60;56,83;-164,98;3744;-9700;-14104;-472;6;136;3,16;-1102,64;0,01;1180
60;56,82;-164,98;3816;-9564;-14088;-511;6;76;3,18;-1096,29;0,01;1200
60;56,81;-164,99;3732;-9668;-14248;-468;10;91;3,18;-1093,11;0,01;1220
60;56,82;-164,99;3780;-9520;-14300;-488;35;94;3,19;-1089,91;0,01;1240
60;56,82;-164,98;3820;-9620;-14052;-503;17;89;3,17;-1086,74;-0,02;1260
60;56,8;-164,99;3688;-9584;-13964;-468;-8;98;3,19;-1080,37;0,01;1280
60;56,8;-164,99;3880;-9576;-14268;-479;-17;91;3,2;-1077,16;0,01;1300
60;56,8;-164,99;3736;-9636;-14032;-461;-11;103;3,19;-1073,97;-0,01;1320
60;56,8;-164,99;3816;-9584;-13968;-478;13;94;3,19;-1070,79;-0,0;1340
60;56,81;-164,99;3788;-9600;-14188;-492;-1;104;3,19;-1064,41;-0,0;1360
60;56,82;-164,99;3868;-9556;-14256;-486;9;92;3,19;-1061,22;-0,0;1380
60;56,82;-165,0;3784;-9564;-14160;-480;15;87;3,18;-1058,04;-0,01;1400
60;56,81;-165,0;3840;-9552;-14056;-471;-9;77;3,18;-1054,86;0,0;1420
60;56,82;-165,01;3788;-9596;-14160;-494;-11;105;3,18;-1048,49;-0,0;1440
60;56,81;-165,0;3780;-9576;-14152;-501;13;71;3,19;-1045,3;0,01;1460
60;56,8;-165,0;3772;-9580;-14256;-503;22;95;3,2;-1042,1;0,01;1480
60;56,79;-165,02;3792;-9700;-14252;-489;16;120;3,2;-1038,89;-0,0;1500
60;56,78;-165,0;3792;-9600;-14072;-504;25;78;3,21;-1032,46;-0,0;1520
60;56,79;-165,0;3744;-9580;-14124;-483;-6;92;3,21;-1029,25;-0,0;1540
60;56,79;-165,0;3768;-9580;-14156;-484;12;114;3,21;-1026,04;0,0;1560
60;56,78;-164,99;3808;-9624;-14148;-483;14;79;3,21;-1022,82;-0,0;1580
60;56,79;-165,0;3840;-9444;-14100;-478;10;95;3,22;-1016,39;0,0;1600
60;56,79;-164,99;3844;-9556;-14152;-478;27;120;3,21;-1013,18;-0,01;1620
60;56,79;-164,99;3812;-9628;-14188;-479;13;111;3,21;-1009,97;-0,0;1640
60;56,78;-164,98;3812;-9664;-14160;-462;13;102;3,21;-1006,75;0,0;1660
60;56,79;-164,99;3844;-9588;-14188;-517;2;97;3,21;-1000,33;-0,0;1680
60;56,8;-164,99;3780;-9512;-14184;-478;22;84;3,21;-997,12;-0,0;1700
60;56,8;-164,99;3836;-9684;-14156;-471;-4;151;3,2;-993,92;-0,01;1720
60;56,79;-164,98;3844;-9516;-14108;-493;1;60;3,21;-990,71;0,01;1740
60;56,8;-164,98;3776;-9568;-14188;-525;26;99;3,2;-984,31;-0,0;1760
60;56,8;-164,99;3692;-9580;-14136;-469;-7;118;3,2;-981,11;0,0;1780
60;56,79;-164,98;3816;-9540;-14036;-498;6;42;3,21;-977,89;0,01;1800
60;56,79;-164,98;3804;-9664;-14260;-471;-15;109;3,21;-974,68;0,0;1820
60;56,79;-164,98;3768;-9568;-14120;-494;0;105;3,21;-968,25;-0,0;1840
60;56,78;-164,98;3768;-9632;-14136;-465;22;80;3,22;-965,04;0,0;1860
60;56,78;-164,98;3852;-9560;-14120;-479;9;133;3,22;-961,82;0,01;1880
60;56,79;-164,98;3848;-9544;-14072;-463;-9;58;3,21;-958,6;-0,01;1900
60;56,79;-164,99;3740;-9576;-14224;-475;3;111;3,21;-952,18;-0,0;1920
60;56,79;-164,98;3812;-9612;-14188;-453;8;88;3,21;-948,98;-0,0;1940
60;56,79;-165,0;3716;-9652;-14248;-503;-9;100;3,21;-945,77;-0,0;1960
60;56,79;-165,0;3856;-9620;-14116;-470;-4;87;3,2;-942,56;-0,0;1980
60;56,79;-164,99;3724;-9564;-14112;-505;2;92;3,21;-936,14;0,0;2000
60;56,78;-164,99;3776;-9560;-13952;-478;16;87;3,22;-932,92;0,0;2020
60;56,77;-164,99;3784;-9640;-14304;-478;11;103;3,23;-929,69;0,01;2040
60;56,78;-164,99;3768;-9552;-14004;-486;25;74;3,22;-926,47;-0,01;2060
60;56,78;-165,01;3740;-9608;-14136;-483;6;116;3,22;-920,03;0,0;2080
60;56,76;-165,0;3756;-9592;-14068;-485;12;90;3,23;-916,8;0,01;2100
60;56,77;-165,01;3692;-9608;-14136;-497;-12;82;3,23;-913,56;0,0;2120
60;56,76;-165,02;3756;-9588;-14048;-503;-3;73;3,24;-910,33;0,01;2140
60;56,75;-165,02;3772;-9512;-14080;-484;12;103;3,26;-903,82;0,0;2160
60;56,75;-165,0;3876;-9580;-14152;-482;10;110;3,25;-900,56;-0,0;2180
60;56,74;-164,99;3888;-9632;-14088;-500;28;107;3,25;-897,31;0,0;2200
60;56,75;-164,99;3764;-9580;-14036;-473;6;78;3,25;-894,06;-0,01;2220
60;56,74;-164,99;3804;-9648;-14140;-470;0;102;3,25;-887,56;0,0;2240
60;56,74;-164,99;3768;-9568;-14128;-479;-6;87;3,26;-884,29;0,01;2260
60;56,75;-164,98;3832;-9452;-14084;-514;4;113;3,26;-881,03;-0,0;2280
60;56,76;-164,97;3892;-9512;-14184;-489;-4;99;3,25;-877,78;-0,01;2300
60;56,76;-164,96;3880;-9524;-14024;-471;2;97;3,24;-871,29;-0,0;2320
60;56,75;-164,96;3828;-9620;-14016;-479;17;67;3,24;-868,05;-0,0;2340
60;56,76;-164,96;3844;-9564;-14144;-510;24;98;3,24;-864,81;0,0;2360
60;56,76;-164,96;3764;-9580;-14224;-477;12;110;3,24;-861,57;-0,0;2380
60;56,76;-164,94;3816;-9544;-14072;-462;22;82;3,24;-855,09;0,0;2400
60;56,76;-164,94;3752;-9564;-14208;-478;20;85;3,24;-851,85;0,0;2420
60;56,77;-164,96;3756;-9504;-14148;-504;14;72;3,23;-848,62;-0,01;2440
60;56,78;-164,96;3804;-9576;-14284;-504;-15;77;3,23;-845,39;-0,01;2460
60;56,8;-164,97;3824;-9576;-14176;-474;-14;92;3,2;-838,98;-0,01;2480
60;56,79;-164,96;3772;-9664;-14136;-494;8;69;3,2;-835,78;-0,0;2500
60;56,8;-164,97;3760;-9596;-14256;-480;-1;100;3,2;-832,58;0,0;2520
60;56,8;-164,97;3752;-9536;-14040;-471;13;107;3,2;-829,38;-0,01;2540
60;56,81;-164,97;3776;-9564;-14212;-489;-20;61;3,19;-822,98;-0,01;2560
60;56,8;-164,97;3784;-9608;-14184;-467;-16;127;3,2;-819,78;0,0;2580
60;56,81;-164,97;3768;-9624;-14128;-472;26;77;3,19;-816,6;-0,01;2600
60;56,8;-164,98;3760;-9564;-14044;-478;9;97;3,19;-813,4;0,0;2620
60;56,8;-164,98;3756;-9520;-14128;-495;5;114;3,2;-807,0;0,0;2640
60;56,8;-164,98;3804;-9564;-14232;-487;-1;42;3,2;-803,8;-0,0;2660
60;56,81;-164,99;3792;-9636;-14244;-469;9;116;3,19;-800,61;-0,01;2680
60;56,81;-165,0;3816;-9664;-14176;-471;-15;98;3,19;-797,42;-0,01;2700
60;56,82;-165,01;3744;-9544;-14048;-497;-2;83;3,18;-791,06;-0,0;2720
60;56,81;-165,01;3832;-9628;-14076;-479;10;126;3,18;-787,87;0,0;2740
60;56,82;-165,01;3708;-9500;-14132;-496;0;37;3,18;-784,69;0,0;2760
60;56,81;-165,01;3804;-9568;-14128;-499;56;88;3,19;-781,5;0,0;2780
60;56,81;-165,01;3812;-9616;-14116;-462;-12;80;3,18;-775,14;-0,0;2800
60;56,81;-165,0;3884;-9588;-14140;-508;12;65;3,19;-771,95;0,01;2820
60;56,82;-165,01;3708;-9540;-14136;-491;19;102;3,19;-768,77;-0,0;2840
60;56,8;-165,01;3772;-9556;-14048;-456;18;93;3,19;-765,57;0,0;2860
60;56,82;-165,0;3808;-9504;-14232;-478;7;68;3,19;-759,19;-0,01;2880
60;56,81;-164,99;3812;-9564;-14064;-474;22;147;3,19;-756,0;-0,0;2900
60;56,81;-164,99;3748;-9600;-14096;-495;-1;63;3,19;-752,82;-0,0;2920
60;56,82;-165,0;3788;-9544;-14184;-480;5;97;3,18;-749,63;-0,0;2940
60;56,82;-165,0;3748;-9560;-14164;-471;18;99;3,18;-743,27;0,0;2960
60;56,82;-164,99;3772;-9544;-14120;-498;29;69;3,18;-740,09;-0,0;2980
60;56,83;-165,01;3744;-9552;-14272;-478;4;119;3,18;-736,91;0,0;3000
60;56,83;-165,01;3828;-9592;-14088;-482;19;96;3,17;-733,74;-0,01;3020
60;56,83;-165,02;3708;-9556;-14220;-510;12;48;3,17;-727,39;-0,01;3040
60;56,83;-165,02;3744;-9604;-14044;-484;14;134;3,16;-724,23;-0,01;3060
60;56,82;-165,02;3792;-9640;-14196;-493;6;88;3,18;-721,05;0,01;3080
60;56,83;-165,03;3756;-9568;-14252;-475;2;90;3,17;-717,88;-0,0;3100
60;56,83;-165,01;3856;-9572;-14140;-449;11;99;3,17;-711,54;0,0;3120
60;56,83;-165,01;3808;-9612;-14092;-466;-6;75;3,17;-708,37;-0,0;3140
60;56,83;-165,02;3792;-9644;-14280;-481;32;93;3,17;-705,2;-0,0;3160
60;56,84;-165,0;3948;-9600;-14172;-501;16;82;3,17;-702,04;-0,0;3180
60;56,83;-164,99;3792;-9536;-14124;-475;30;78;3,17;-695,69;0,01;3200
60;56,83;-164,99;3820;-9608;-14120;-458;-22;105;3,17;-692,52;-0,0;3220
60;56,82;-164,99;3776;-9564;-14060;-459;-1;91;3,18;-689,34;0,01;3240
60;56,81;-164,99;3852;-9548;-14032;-477;3;92;3,18;-686,16;0,0;3260
60;56,81;-165,0;3788;-9620;-14168;-496;-4;97;3,19;-679,78;0,01;3280
60;56,8;-165,01;3720;-9680;-14204;-479;2;102;3,19;-676,59;0,0;3300
60;56,8;-165,0;3852;-9592;-14028;-503;-2;86;3,2;-673,39;0,0;3320
60;56,8;-165,0;3824;-9516;-14164;-501;29;104;3,2;-670,19;0,01;3340
60;56,81;-165,0;3708;-9564;-14108;-495;2;76;3,19;-663,81;-0,01;3360
60;56,8;-164,99;3816;-9612;-14076;-493;2;106;3,19;-660,61;0,0;3380
60;56,8;-165,01;3784;-9632;-14184;-481;4;102;3,19;-657,42;0,0;3400
60;56,81;-165,01;3728;-9492;-14092;-480;12;82;3,2;-654,22;0,0;3420
60;56,81;-165,02;3804;-9560;-14148;-467;-4;119;3,19;-647,85;-0,0;3440
60;56,81;-165,02;3768;-9656;-14224;-488;7;95;3,18;-644,66;-0,0;3460
60;56,82;-165,02;3756;-9544;-14216;-479;30;68;3,19;-641,47;0,0;3480
60;56,82;-165,03;3752;-9492;-14140;-481;2;104;3,18;-638,29;-0,0;3500
60;56,83;-165,02;3828;-9552;-14112;-481;8;77;3,17;-631,93;-0,01;3520
60;56,83;-165,02;3780;-9652;-14196;-473;24;98;3,17;-628,76;-0,0;3540
60;56,82;-165,01;3792;-9564;-14096;-479;-5;92;3,17;-625,59;0,0;3560
60;56,83;-165,0;3832;-9616;-14248;-503;4;103;3,18;-622,41;0,0;3580
60;56,83;-165,0;3808;-9596;-14188;-475;-15;109;3,17;-616,06;-0,01;3600
60;56,83;-165,01;3784;-9584;-14048;-511;8;83;3,17;-612,89;-0,0;3620
60;56,82;-165,01;3800;-9584;-14080;-458;4;94;3,18;-609,71;0,01;3640
60;56,82;-165,02;3732;-9592;-14228;-473;22;97;3,18;-606,53;0,0;3660
60;56,82;-165,02;3764;-9576;-14072;-487;12;64;3,17;-600,18;-0,0;3680
60;56,82;-165,01;3864;-9632;-14132;-507;-5;100;3,18;-597,0;0,0;3700
60;56,82;-165,01;3764;-9556;-14132;-461;16;88;3,18;-593,82;-0,0;3720
60;56,83;-165,02;3776;-9588;-14196;-512;-20;100;3,18;-590,65;-0,0;3740
60;56,82;-165,01;3872;-9576;-14164;-476;16;104;3,18;-584,29;0,0;3760
60;56,82;-165,01;3796;-9656;-14236;-468;5;99;3,18;-581,11;0,0;3780
60;56,81;-165,0;3868;-9512;-14092;-467;22;90;3,19;-577,92;0,0;3800
60;56,82;-165,0;3796;-9584;-14216;-501;6;113;3,18;-574,74;-0,01;3820
60;56,82;-165,0;3780;-9528;-14176;-466;18;92;3,18;-568,37;0,0;3840
60;56,82;-164,98;3880;-9604;-14108;-497;25;98;3,18;-565,19;-0,0;3860
60;56,82;-164,99;3760;-9636;-14316;-504;-14;99;3,19;-562,0;0,0;3880
60;56,82;-164,99;3864;-9580;-14192;-466;-9;83;3,18;-558,82;-0,01;3900
60;56,81;-164,98;3888;-9612;-14084;-464;-9;106;3,18;-552,46;-0,0;3920
60;56,82;-164,98;3780;-9588;-14200;-485;-24;79;3,19;-549,27;0,0;3940
60;56,82;-164,99;3760;-9496;-14152;-481;-16;67;3,19;-546,08;0,0;3960
60;56,82;-165,0;3708;-9552;-14208;-487;10;124;3,18;-542,9;-0,01;3980
60;56,82;-165,0;3820;-9604;-13988;-486;23;76;3,17;-536,56;0,0;4000
60;56,82;-164,99;3884;-9520;-14104;-483;5;103;3,18;-533,37;0,01;4020
60;56,82;-164,99;3744;-9628;-14120;-466;5;103;3,18;-530,2;-0,01;4040
60;56,82;-165,0;3764;-9548;-14060;-482;11;76;3,18;-527,02;0,0;4060
60;56,82;-164,99;3744;-9524;-14084;-487;3;110;3,18;-520,66;0,0;4080
60;56,82;-164,99;3780;-9536;-14184;-485;1;81;3,19;-517,47;0,01;4100
60;56,82;-164,99;3784;-9596;-14124;-484;-1;83;3,18;-514,29;-0,01;4120
60;56,82;-164,99;3712;-9500;-14060;-491;18;110;3,18;-511,11;0,0;4140
60;56,83;-165,01;3756;-9628;-14184;-494;-16;42;3,17;-504,77;0,0;4160
60;56,82;-165,01;3860;-9620;-14148;-476;2;117;3,18;-501,6;0,0;4180
60;56,82;-165,01;3732;-9656;-14200;-477;22;95;3,18;-498,42;-0,0;4200
60;56,81;-165,01;3768;-9608;-14172;-499;-10;88;3,19;-495,23;0,01;4220
60;56,8;-165,01;3844;-9636;-14172;-464;-22;121;3,2;-488,84;0,0;4240
60;56,81;-165,0;3868;-9548;-14172;-487;12;69;3,2;-485,64;-0,0;4260
60;56,81;-164,98;3928;-9584;-14112;-482;-6;96;3,19;-482,46;-0,01;4280
60;56,82;-164,98;3816;-9520;-14152;-461;12;120;3,19;-479,27;-0,0;4300
60;56,82;-164,98;3760;-9564;-14076;-478;24;66;3,18;-472,9;-0,0;4320
60;56,82;-164,98;3732;-9592;-14212;-498;-21;108;3,18;-469,72;0,0;4340
60;56,82;-164,98;3820;-9576;-14176;-476;18;87;3,18;-466,54;-0,0;4360
60;56,82;-164,99;3808;-9568;-14156;-494;8;78;3,18;-463,36;0,0;4380
60;56,82;-164,98;3796;-9564;-14120;-468;15;108;3,18;-457,0;-0,0;4400
60;56,82;-164,97;3896;-9544;-14060;-477;-12;67;3,18;-453,82;-0,0;4420
60;56,82;-164,98;3804;-9600;-14160;-465;-3;84;3,18;-450,64;0,0;4440
60;56,82;-164,99;3748;-9608;-14124;-496;15;99;3,18;-447,47;-0,0;4460
60;56,82;-164,98;3816;-9536;-14072;-462;-2;85;3,18;-441,11;0,0;4480
60;56,82;-164,98;3872;-9616;-14232;-487;0;119;3,18;-437,92;0,0;4500
60;56,82;-164,98;3756;-9640;-14168;-480;12;86;3,18;-434,74;-0,0;4520
60;56,82;-164,97;3752;-9520;-14184;-480;33;98;3,18;-431,56;-0,0;4540
60;56,82;-164,97;3808;-9560;-14040;-464;10;74;3,17;-425,22;-0,0;4560
60;56,83;-164,96;3848;-9476;-14076;-471;0;100;3,17;-422,04;0,0;4580
60;56,83;-164,96;3772;-9616;-14244;-461;25;97;3,17;-418,88;-0,01;4600
60;56,83;-164,97;3816;-9568;-14160;-496;-4;76;3,17;-415,71;0,0;4620
60;56,83;-164,97;3792;-9592;-14076;-480;15;108;3,17;-409,37;0,0;4640
60;56,83;-164,97;3780;-9528;-14204;-497;-14;63;3,18;-406,19;0,01;4660
60;56,82;-164,98;3776;-9628;-14052;-469;24;84;3,17;-403,02;-0,01;4680
60;56,82;-164,99;3744;-9620;-14240;-484;-1;101;3,18;-399,84;0,01;4700
60;56,82;-165,0;3744;-9540;-14108;-510;-4;116;3,18;-393,48;-0,01;4720
60;56,83;-165,01;3800;-9576;-14196;-487;-8;125;3,17;-390,31;-0,0;4740
60;56,82;-165,01;3864;-9568;-13996;-477;11;114;3,17;-387,13;0,0;4760
60;56,82;-165,0;3772;-9532;-14152;-476;-1;114;3,18;-383,95;0,01;4780
60;56,82;-165,01;3828;-9624;-14240;-480;1;104;3,18;-377,59;0,0;4800
60;56,83;-165,03;3676;-9536;-14228;-487;10;78;3,18;-374,41;-0,01;4820
60;56,84;-165,02;3824;-9580;-14208;-499;27;112;3,17;-371,25;-0,01;4840
60;56,83;-165,03;3772;-9616;-14200;-493;12;78;3,17;-368,08;0,0;4860
60;56,82;-165,01;3796;-9600;-14100;-473;-3;93;3,18;-361,73;0,01;4880
60;56,83;-165,02;3724;-9492;-14128;-500;-4;98;3,18;-358,55;0,0;4900
60;56,83;-165,02;3772;-9640;-14240;-460;12;72;3,17;-355,39;-0,01;4920
60;56,82;-165,01;3856;-9628;-14048;-479;24;99;3,17;-352,21;0,01;4940
60;56,82;-165,01;3844;-9612;-14176;-481;0;76;3,18;-345,84;-0,0;4960
60;56,81;-165,01;3760;-9680;-14208;-480;12;117;3,19;-342,66;0,0;4980
60;56,81;-165,02;3752;-9656;-14256;-476;-1;83;3,19;-339,47;0,0;5000
60;56,81;-165,01;3824;-9592;-14160;-487;23;96;3,19;-336,29;-0,0;5020
60;56,8;-165,01;3796;-9580;-14028;-499;40;103;3,19;-329,9;0,0;5040
60;56,81;-165,02;3712;-9456;-14300;-484;25;75;3,2;-326,7;0,01;5060
60;56,81;-165,01;3820;-9536;-14112;-495;19;87;3,19;-323,5;-0,01;5080
60;56,82;-165,02;3708;-9548;-14288;-465;15;106;3,19;-320,32;-0,0;5100
60;56,81;-165,03;3832;-9600;-14120;-470;-4;113;3,18;-313,96;0,01;5120
60;56,82;-165,02;3796;-9584;-14136;-494;10;75;3,18;-310,78;-0,0;5140
60;56,81;-165,03;3704;-9640;-14148;-470;-16;93;3,18;-307,59;0,0;5160
60;56,82;-165,02;3852;-9568;-14204;-478;0;88;3,19;-304,41;0,0;5180
60;56,81;-165,02;3760;-9608;-14116;-463;6;106;3,19;-298,03;0,0;5200
60;56,81;-165,01;3800;-9544;-13996;-468;6;89;3,19;-294,84;0,0;5220
60;56,8;-165,0;3800;-9600;-14180;-495;-7;110;3,2;-291,64;0,01;5240
60;56,81;-165,01;3740;-9620;-14248;-470;-2;87;3,19;-288,45;-0,01;5260
60;56,81;-165,0;3828;-9596;-14096;-504;27;111;3,19;-282,07;-0,0;5280
60;56,8;-165,01;3756;-9644;-14104;-471;-7;107;3,19;-278,88;0,0;5300
60;56,8;-165,0;3772;-9552;-14148;-506;-13;78;3,2;-275,68;0,01;5320
60;56,8;-165,01;3820;-9508;-14036;-485;15;89;3,2;-272,48;-0,0;5340
60;56,81;-165,01;3800;-9520;-14152;-492;12;92;3,2;-266,09;0,0;5360
60;56,8;-165,01;3772;-9580;-14112;-485;-5;84;3,19;-262,9;-0,0;5380
60;56,81;-165,01;3816;-9608;-14236;-472;-9;98;3,19;-259,71;-0,0;5400
60;56,81;-165,0;3940;-9576;-14088;-496;25;53;3,19;-256,51;0,0;5420
60;56,82;-165,0;3744;-9564;-14176;-473;7;116;3,18;-250,15;-0,0;5440
60;56,82;-165,01;3780;-9564;-14116;-483;6;79;3,18;-246,97;-0,0;5460
60;56,81;-165,01;3708;-9596;-14048;-487;29;93;3,19;-243,79;0,01;5480
60;56,81;-165,0;3796;-9600;-14212;-468;14;99;3,19;-240,59;0,01;5500
60;56,81;-165,0;3828;-9580;-14256;-511;19;82;3,19;-234,21;0,0;5520
60;56,81;-165,0;3708;-9500;-14156;-489;6;114;3,19;-231,02;0,0;5540
60;56,8;-165,01;3760;-9648;-14120;-477;24;94;3,2;-227,83;0,0;5560
60;56,79;-165,0;3828;-9628;-14164;-473;8;82;3,2;-224,62;0,01;5580
60;56,79;-165,0;3844;-9536;-14000;-476;2;118;3,21;-218,21;0,0;5600
60;56,78;-165,0;3812;-9640;-14032;-480;-10;70;3,21;-215,0;0,0;5620
60;56,8;-165,01;3720;-9436;-14108;-501;3;119;3,21;-211,79;-0,0;5640
60;56,81;-165,02;3764;-9508;-14340;-488;23;63;3,21;-208,59;-0,0;5660
60;56,81;-165,0;3856;-9580;-14164;-469;-2;81;3,19;-202,21;-0,0;5680
60;56,82;-164,99;3812;-9520;-14160;-476;9;89;3,18;-199,03;-0,0;5700
60;56,82;-164,99;3844;-9616;-14128;-478;9;78;3,17;-195,86;-0,01;5720
60;56,83;-164,98;3892;-9520;-14080;-470;12;114;3,17;-192,68;0,0;5740
60;56,82;-164,99;3728;-9600;-14236;-472;29;91;3,18;-186,32;0,01;5760
60;56,82;-164,99;3772;-9568;-14128;-495;1;85;3,18;-183,14;-0,01;5780
60;56,81;-164,98;3868;-9612;-14084;-499;18;106;3,19;-179,95;0,01;5800
60;56,81;-164,98;3840;-9528;-14144;-491;-2;67;3,19;-176,76;0,01;5820
60;56,82;-164,97;3884;-9516;-14088;-474;-3;97;3,18;-170,39;0,0;5840
60;56,81;-164,97;3788;-9488;-14056;-488;10;94;3,19;-167,2;0,0;5860
60;56,82;-164,97;3712;-9576;-14152;-490;11;81;3,18;-164,02;-0,01;5880
60;56,82;-164,97;3796;-9568;-14032;-470;-8;102;3,18;-160,84;-0,0;5900
60;56,82;-164,98;3684;-9516;-14276;-481;18;75;3,19;-154,47;0,0;5920
60;56,82;-164,99;3756;-9536;-14120;-498;13;93;3,18;-151,29;-0,01;5940
60;56,83;-164,99;3816;-9600;-14152;-492;5;100;3,17;-148,11;-0,0;5960
60;56,82;-164,98;3740;-9592;-14124;-491;2;68;3,18;-144,94;0,01;5980
60;56,82;-164,98;3752;-9540;-14032;-470;9;103;3,18;-138,58;0,0;6000
