Angle;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur
60;3,1;-141,56;560;-16556;-748;-335;-32;64;56,91
60;3,11;-141,48;644;-16608;-800;-325;-5;69;56,9
60;3,13;-141,71;600;-16688;-836;-327;-28;70;56,88
60;3,12;-141,77;508;-16644;-736;-323;-26;74;56,87
60;3,12;-141,62;600;-16616;-652;-331;-34;64;56,87
60;3,13;-141,77;500;-16736;-764;-331;5;81;56,87
60;3,12;-141,75;520;-16704;-672;-330;-51;97;56,87
60;3,13;-141,74;648;-16612;-720;-323;-5;67;56,88
60;3,15;-141,94;628;-16628;-808;-318;-22;73;56,86
60;3,13;-141,81;516;-16704;-620;-324;-4;81;56,86
60;3,12;-141,92;548;-16760;-724;-311;1;61;56,88
60;3,12;-141,84;600;-16656;-712;-337;-8;109;56,88
60;3,12;-141,74;580;-16672;-756;-331;-7;79;56,88
60;3,14;-142,0;552;-16680;-908;-319;-32;76;56,87
60;3,16;-142,22;632;-16636;-864;-329;-32;92;56,85
60;3,16;-142,41;548;-16516;-808;-329;-33;104;56,85
60;3,15;-142,38;532;-16692;-684;-309;-30;66;56,85
60;3,16;-142,39;596;-16736;-752;-322;-12;86;56,84
60;3,16;-142,49;584;-16744;-700;-326;-15;104;56,84
60;3,17;-142,5;560;-16732;-788;-319;-3;71;56,83
60;3,16;-142,61;560;-16608;-724;-311;1;89;56,84
60;3,17;-142,73;536;-16656;-760;-320;-30;82;56,83
60;3,17;-142,76;524;-16588;-620;-345;-33;102;56,82
60;3,19;-142,76;612;-16628;-792;-323;-39;75;56,82
60;3,19;-142,68;540;-16632;-740;-326;-35;82;56,81
60;3,2;-142,41;656;-16620;-644;-316;4;72;56,8
60;3,2;-142,31;520;-16696;-836;-322;-6;90;56,81
60;3,2;-142,46;616;-16632;-760;-331;-31;96;56,8
60;3,2;-142,44;548;-16652;-740;-321;-6;81;56,79
60;3,19;-142,16;580;-16676;-636;-322;-45;97;56,81
60;3,18;-142,26;532;-16648;-760;-324;-23;90;56,82
60;3,18;-142,18;592;-16596;-712;-329;-18;72;56,82
60;3,17;-142,14;476;-16704;-716;-316;-47;91;56,83
60;3,17;-142,23;616;-16632;-684;-315;6;73;56,83
60;3,16;-142,18;496;-16620;-552;-331;-11;86;56,83
60;3,16;-142,13;612;-16640;-836;-316;-26;75;56,85
60;3,16;-142,05;644;-16672;-848;-324;-17;78;56,85
60;3,15;-141,97;572;-16728;-664;-325;-7;87;56,85
60;3,15;-141,96;512;-16520;-764;-307;-19;80;56,85
60;3,15;-142,05;584;-16736;-836;-332;-25;107;56,85
60;3,17;-142,12;584;-16748;-752;-317;8;87;56,83
60;3,18;-142,01;624;-16604;-792;-338;-23;88;56,83
60;3,18;-142,16;568;-16692;-896;-326;-14;81;56,83
60;3,19;-142,41;564;-16748;-792;-331;-15;82;56,81
60;3,18;-142,4;528;-16568;-752;-338;-36;95;56,82
60;3,18;-142,49;568;-16696;-664;-322;-8;115;56,81
60;3,17;-142,48;484;-16736;-648;-309;-29;76;56,82
60;3,18;-142,65;536;-16752;-816;-339;-13;81;56,82
60;3,18;-142,81;508;-16644;-808;-313;-10;94;56,82
60;3,17;-142,75;540;-16696;-624;-326;-24;101;56,82
60;3,19;-142,91;552;-16688;-852;-304;-36;97;56,82
60;3,2;-142,97;620;-16680;-852;-321;-14;104;56,81
60;3,17;-142,73;556;-16712;-616;-314;-20;100;56,82
60;3,19;-143,03;556;-16776;-908;-327;-2;97;56,82
60;3,21;-142,97;612;-16624;-760;-324;-50;89;56,8
60;3,2;-142,68;620;-16656;-604;-336;0;75;56,8
60;3,18;-142,45;520;-16608;-608;-321;-1;78;56,81
60;3,2;-142,32;704;-16724;-740;-316;-41;93;56,81
60;3,21;-142,39;648;-16644;-844;-311;12;99;56,8
60;3,21;-142,44;584;-16632;-708;-336;-9;86;56,79
60;3,22;-142,54;608;-16644;-724;-316;-22;79;56,78
60;3,22;-142,56;600;-16620;-712;-327;-5;87;56,78
60;3,21;-142,55;584;-16544;-628;-333;-14;89;56,78
60;3,22;-142,63;628;-16644;-852;-332;-12;79;56,79
60;3,22;-142,77;484;-16684;-756;-333;-35;107;56,78
60;3,21;-142,77;500;-16768;-660;-307;-26;97;56,79
60;3,19;-142,68;540;-16720;-800;-327;-3;83;56,81
60;3,2;-142,84;588;-16788;-828;-321;-4;97;56,8
60;3,21;-143,03;516;-16644;-860;-319;-21;78;56,8
60;3,2;-142,93;632;-16632;-724;-340;-19;88;56,8
60;3,2;-142,9;528;-16620;-688;-336;-9;85;56,8
60;3,21;-142,84;568;-16644;-768;-318;-40;64;56,79
60;3,21;-142,94;580;-16712;-792;-318;-5;92;56,79
60;3,22;-142,78;624;-16664;-696;-331;-24;65;56,79
60;3,22;-142,66;608;-16652;-788;-332;-45;90;56,78
60;3,21;-142,79;508;-16620;-696;-328;-21;112;56,79
60;3,22;-142,69;712;-16640;-848;-324;-32;77;56,8
60;3,22;-142,84;588;-16692;-784;-312;-1;102;56,78
60;3,22;-142,79;540;-16700;-648;-311;-39;90;56,78
60;3,22;-142,72;588;-16592;-752;-322;-12;80;56,78
60;3,22;-142,56;580;-16580;-708;-317;-33;95;56,78
60;3,22;-142,39;636;-16676;-672;-308;-34;87;56,77
60;3,22;-142,43;604;-16556;-800;-304;-17;68;56,78
60;3,22;-142,34;560;-16660;-584;-346;34;79;56,77
60;3,22;-142,25;592;-16640;-752;-313;-13;81;56,78
60;3,22;-142,28;536;-16624;-756;-325;-7;91;56,78
60;3,22;-142,28;552;-16648;-740;-317;-5;67;56,78
60;3,23;-142,44;588;-16600;-880;-324;-25;102;56,78
60;3,24;-142,5;616;-16696;-984;-328;-22;85;56,77
60;3,23;-142,52;632;-16796;-752;-320;14;78;56,78
60;3,22;-142,49;556;-16620;-628;-328;-15;92;56,77
60;3,21;-142,39;580;-16672;-624;-319;-13;88;56,78
60;3,21;-142,28;588;-16608;-724;-325;-14;93;56,79
60;3,2;-142,33;588;-16572;-636;-312;28;91;56,8
60;3,19;-142,16;680;-16632;-736;-328;-4;89;56,81
60;3,2;-142,22;620;-16644;-784;-331;-25;101;56,8
60;3,2;-142,04;572;-16652;-672;-328;-14;85;56,8
60;3,2;-142,12;612;-16628;-752;-328;-8;79;56,8
60;3,2;-142,31;472;-16608;-728;-328;-21;88;56,79
60;3,21;-142,18;624;-16644;-724;-318;15;100;56,8
60;3,19;-142,13;564;-16648;-680;-320;-22;82;56,8
60;3,19;-141,93;648;-16564;-668;-339;-9;110;56,81
60;3,2;-141,86;588;-16648;-716;-347;-18;93;56,8
60;3,2;-141,89;560;-16676;-848;-326;-44;87;56,81
60;3,21;-142,01;644;-16712;-776;-331;-3;104;56,79
60;3,22;-142,04;616;-16616;-788;-324;-32;80;56,79
60;3,21;-142,29;468;-16652;-688;-314;-5;88;56,78
60;3,21;-142,18;600;-16564;-780;-313;-16;99;56,8
60;3,2;-142,07;616;-16644;-668;-318;-25;92;56,79
60;3,19;-142,02;500;-16640;-644;-327;-21;82;56,81
60;3,18;-141,89;560;-16592;-764;-329;-30;86;56,83
60;3,18;-141,93;576;-16636;-744;-314;-29;67;56,82
60;3,17;-142,03;492;-16652;-648;-319;2;81;56,82
60;3,17;-141,93;560;-16648;-780;-314;-3;86;56,83
60;3,17;-141,92;604;-16716;-764;-308;-14;91;56,83
60;3,18;-141,95;556;-16712;-680;-318;-33;109;56,82
60;3,18;-142,23;480;-16564;-756;-317;-21;90;56,82
60;3,17;-142,21;588;-16716;-656;-323;12;107;56,82
60;3,19;-142,2;576;-16612;-884;-326;-30;73;56,82
60;3,19;-142,32;556;-16668;-912;-326;-20;86;56,82
60;3,19;-142,28;560;-16620;-668;-325;-18;80;56,81
60;3,19;-142,33;520;-16676;-768;-326;-18;98;56,81
60;3,19;-142,34;604;-16668;-684;-324;-22;74;56,81
60;3,19;-142,31;552;-16720;-700;-303;-8;78;56,8
60;3,19;-142,35;524;-16704;-808;-331;-20;77;56,81
60;3,19;-142,18;596;-16724;-724;-314;-22;98;56,81
60;3,2;-142,32;524;-16524;-864;-334;-19;89;56,81
60;3,2;-142,26;620;-16668;-744;-325;-24;77;56,8
60;3,21;-142,33;592;-16612;-788;-315;-46;81;56,8
60;3,21;-142,28;588;-16696;-744;-325;-2;93;56,79
60;3,22;-142,44;512;-16684;-800;-334;-8;89;56,79
60;3,22;-142,54;520;-16620;-796;-325;-26;88;56,78
60;3,23;-142,51;616;-16696;-840;-325;-9;90;56,78
60;3,22;-142,42;572;-16776;-712;-329;-6;94;56,77
60;3,22;-142,32;648;-16628;-760;-317;-18;93;56,79
60;3,21;-142,34;536;-16632;-732;-342;17;76;56,79
60;3,22;-142,48;492;-16660;-808;-338;-12;82;56,78
60;3,23;-142,72;540;-16632;-792;-321;-25;94;56,77
60;3,22;-142,65;512;-16604;-788;-314;-25;83;56,78
60;3,22;-142,47;608;-16620;-768;-321;-24;89;56,79
60;3,22;-142,55;584;-16636;-764;-336;-24;80;56,78
60;3,21;-142,65;532;-16740;-676;-310;-13;71;56,78
60;3,19;-142,57;568;-16608;-612;-321;-17;90;56,8
60;3,19;-142,66;628;-16664;-768;-325;-8;82;56,82
60;3,19;-142,68;564;-16616;-848;-316;-4;83;56,82
60;3,19;-142,57;600;-16636;-772;-327;-27;100;56,82
60;3,21;-142,65;592;-16672;-876;-301;-15;81;56,8
60;3,21;-142,59;580;-16632;-644;-309;-36;84;56,79
60;3,2;-142,41;548;-16660;-724;-337;12;98;56,79
60;3,2;-142,39;428;-16672;-740;-333;-13;92;56,8
60;3,2;-142,62;556;-16780;-660;-311;-8;95;56,79
60;3,2;-142,7;576;-16636;-756;-314;-14;73;56,8
60;3,21;-142,89;504;-16564;-836;-325;-19;71;56,8
60;3,21;-142,99;568;-16676;-808;-331;-36;80;56,79
60;3,21;-142,92;588;-16592;-712;-322;-9;90;56,79
60;3,22;-142,82;572;-16628;-712;-307;-20;84;56,78
60;3,22;-142,95;500;-16620;-860;-331;-29;85;56,79
60;3,22;-143,11;532;-16608;-732;-329;-1;91;56,78
60;3,23;-143,02;700;-16760;-804;-324;10;84;56,78
60;3,23;-142,87;628;-16572;-628;-326;-30;89;56,76
60;3,24;-142,96;556;-16636;-856;-323;-28;102;56,77
60;3,23;-142,9;580;-16592;-648;-320;-22;80;56,76
60;3,22;-142,44;640;-16620;-656;-327;-9;96;56,78
60;3,2;-142,34;476;-16608;-488;-342;-17;87;56,78
60;3,19;-142,1;600;-16640;-524;-319;-29;85;56,8
60;3,19;-142,01;620;-16644;-688;-309;-27;105;56,81
60;3,19;-141,8;612;-16568;-644;-325;4;84;56,81
60;3,19;-141,6;560;-16620;-636;-307;-29;88;56,8
60;3,18;-141,83;476;-16596;-812;-331;-26;74;56,82
60;3,18;-141,76;560;-16708;-688;-337;-12;94;56,82
60;3,2;-141,82;676;-16708;-888;-318;-12;96;56,81
60;3,2;-141,87;552;-16616;-776;-324;-4;78;56,8
60;3,21;-141,84;604;-16788;-804;-315;-25;96;56,79
60;3,21;-141,77;552;-16696;-660;-305;-7;102;56,78
60;3,23;-141,85;568;-16684;-836;-323;-34;93;56,78
60;3,23;-141,97;552;-16628;-700;-312;-8;81;56,77
60;3,23;-141,94;700;-16668;-788;-318;-26;96;56,78
60;3,24;-141,87;664;-16704;-800;-322;-7;91;56,77
60;3,24;-141,96;580;-16752;-756;-340;-24;85;56,76
60;3,26;-142,09;548;-16656;-868;-334;-20;85;56,74
60;3,25;-141,96;560;-16648;-648;-312;-20;95;56,74
60;3,24;-141,99;488;-16548;-656;-321;-28;78;56,75
60;3,25;-142,17;476;-16736;-816;-310;3;70;56,75
60;3,26;-142,45;532;-16648;-908;-318;-30;77;56,75
60;3,25;-142,46;568;-16568;-588;-317;-15;81;56,74
60;3,26;-142,7;572;-16580;-840;-338;-27;93;56,75
60;3,26;-142,92;492;-16656;-760;-327;-19;107;56,74
60;3,25;-142,82;584;-16772;-636;-342;-24;82;56,75
60;3,24;-142,6;672;-16660;-704;-313;5;83;56,76
60;3,23;-142,54;504;-16576;-612;-325;-9;88;56,76
60;3,23;-142,51;580;-16588;-736;-308;-13;79;56,77
60;3,23;-142,76;472;-16684;-708;-316;0;77;56,77
60;3,22;-142,76;608;-16664;-608;-317;-14;81;56,77
60;3,22;-143,04;440;-16692;-768;-312;-23;96;56,78
60;3,22;-143,16;608;-16720;-788;-304;-35;81;56,78
60;3,23;-143,16;560;-16712;-708;-342;-13;93;56,77
60;3,24;-143,31;504;-16704;-772;-326;-31;86;56,76
60;3,23;-143,07;584;-16648;-696;-320;-29;94;56,77
60;3,23;-143,25;536;-16640;-960;-324;0;87;56,78
60;3,22;-143,41;468;-16656;-684;-323;-29;89;56,77
60;3,19;-142,9;544;-16620;-580;-320;-10;72;56,8
60;3,2;-142,81;576;-16568;-656;-302;-43;74;56,8
60;3,2;-142,86;564;-16608;-752;-333;9;103;56,8
60;3,2;-142,93;552;-16672;-776;-311;-18;100;56,8
60;3,2;-142,95;620;-16692;-752;-322;-10;88;56,81
60;3,19;-142,88;604;-16648;-636;-322;-24;90;56,81
60;3,2;-142,95;632;-16568;-776;-315;-18;88;56,8
60;3,21;-143,01;612;-16684;-764;-322;-29;86;56,8
60;3,19;-143,22;456;-16656;-696;-315;23;102;56,8
60;3,19;-143,03;592;-16648;-656;-322;-37;89;56,81
60;3,19;-143,06;536;-16660;-740;-326;-25;87;56,81
60;3,19;-143,05;520;-16628;-728;-341;-20;71;56,81
60;3,19;-142,95;636;-16708;-752;-329;-23;90;56,81
60;3,19;-142,84;588;-16652;-804;-329;-40;80;56,82
60;3,19;-142,72;644;-16720;-660;-331;-19;94;56,81
60;3,19;-142,32;580;-16692;-600;-326;-48;103;56,8
60;3,19;-142,28;628;-16696;-724;-322;-10;89;56,81
60;3,2;-142,38;580;-16488;-720;-313;-18;105;56,8
60;3,19;-142,39;508;-16580;-700;-347;-17;84;56,8
60;3,19;-142,33;608;-16708;-764;-330;-23;94;56,81
60;3,2;-142,49;508;-16712;-796;-320;-32;105;56,81
60;3,2;-142,46;600;-16616;-732;-322;9;95;56,8
60;3,2;-142,72;512;-16732;-732;-320;-12;71;56,79
60;3,2;-142,71;572;-16696;-740;-331;-18;98;56,8
60;3,21;-142,7;600;-16644;-796;-330;-19;88;56,79
60;3,22;-142,86;496;-16684;-724;-321;-10;77;56,78
60;3,21;-142,79;592;-16524;-660;-315;-30;90;56,78
60;3,22;-142,74;672;-16612;-740;-314;-21;86;56,78
60;3,22;-142,6;560;-16612;-736;-296;-30;95;56,78
60;3,23;-142,79;496;-16628;-792;-312;-39;82;56,76
60;3,23;-142,52;620;-16644;-776;-314;-16;91;56,78
60;3,23;-142,84;480;-16696;-864;-341;-15;79;56,78
60;3,23;-142,72;656;-16660;-752;-333;-1;98;56,78
60;3,24;-142,78;640;-16608;-876;-332;-23;71;56,77
60;3,25;-142,7;664;-16688;-736;-323;8;82;56,76
60;3,26;-142,49;648;-16644;-784;-330;-20;62;56,75
60;3,26;-142,49;624;-16648;-720;-318;-36;90;56,74
60;3,26;-142,49;568;-16676;-732;-322;-24;86;56,74
60;3,25;-142,43;596;-16676;-736;-321;-1;96;56,75
60;3,25;-142,68;536;-16656;-744;-317;-16;75;56,74
60;3,25;-142,69;500;-16740;-704;-327;16;67;56,74
60;3,24;-142,74;608;-16704;-724;-311;-7;70;56,75
60;3,25;-143,03;512;-16632;-860;-320;-14;75;56,76
60;3,27;-143,16;636;-16756;-932;-336;-23;99;56,74
60;3,26;-143,21;564;-16752;-816;-329;-4;55;56,74
60;3,26;-142,99;608;-16780;-752;-343;-17;107;56,75
60;3,25;-142,96;604;-16644;-732;-326;-12;89;56,75
60;3,26;-142,99;624;-16572;-860;-329;-7;79;56,75
60;3,24;-143,05;468;-16652;-648;-313;-20;91;56,75
60;3,24;-143,24;428;-16784;-764;-321;1;69;56,76
60;3,25;-143,36;480;-16696;-868;-325;-16;71;56,76
60;3,25;-143,54;556;-16540;-896;-315;-30;104;56,76
60;3,24;-143,39;524;-16660;-728;-309;-32;71;56,75
60;3,25;-143,44;632;-16600;-828;-316;-22;89;56,76
60;3,26;-143,41;532;-16568;-764;-311;-7;81;56,74
60;3,25;-143,39;520;-16720;-688;-323;-20;83;56,75
60;3,24;-143,42;544;-16656;-716;-325;-20;96;56,75
60;3,23;-143,26;560;-16728;-716;-310;-8;79;56,77
60;3,24;-143,36;608;-16716;-828;-332;-1;64;56,77
60;3,23;-143,35;608;-16648;-740;-313;-35;104;56,77
60;3,23;-143,23;620;-16664;-796;-328;1;93;56,78
60;3,23;-143,3;524;-16676;-764;-314;-4;98;56,77
60;3,24;-143,48;480;-16580;-796;-326;-34;89;56,76
60;3,24;-143,69;540;-16612;-856;-336;-36;108;56,77
60;3,23;-143,54;564;-16464;-648;-332;-19;85;56,76
60;3,23;-143,55;648;-16676;-748;-324;-24;107;56,77
60;3,23;-143,42;644;-16688;-640;-330;-50;87;56,77
60;3,24;-143,32;660;-16500;-880;-323;12;87;56,77
60;3,23;-143,13;572;-16684;-688;-336;-42;76;56,76
60;3,23;-143,32;532;-16728;-664;-345;7;78;56,76
60;3,23;-143,44;572;-16644;-680;-329;-33;87;56,77
60;3,23;-143,47;604;-16620;-812;-313;-16;99;56,78
60;3,23;-143,43;656;-16756;-708;-327;-27;81;56,77
60;3,23;-143,33;592;-16724;-752;-317;-20;72;56,77
60;3,22;-143,13;532;-16684;-608;-333;-35;96;56,77
60;3,2;-143,03;540;-16736;-624;-310;-14;93;56,79
60;3,2;-142,99;600;-16636;-720;-318;-2;77;56,8
60;3,2;-142,96;556;-16608;-724;-332;-49;85;56,79
